Movie,trunc,Release Date,Distributor,Genre
Star Wars Ep. VIII: The Las…,Star Wars Ep. VIII: ,"Dec 15, 2017",Walt Disney,Adventure
Beauty and the Beast,Beauty and the Beast,"Mar 17, 2017",Walt Disney,Musical
Wonder Woman,Wonder Woman,"Jun 2, 2017",Warner Bros.,Action
Guardians of the Galaxy Vol 2,Guardians of the Gal,"May 5, 2017",Walt Disney,Action
Spider-Man: Homecoming,Spider-Man: Homecomi,"Jul 7, 2017",Sony Pictures,Action
It,It,"Sep 8, 2017",Warner Bros.,Horror
Thor: Ragnarok,Thor: Ragnarok,"Nov 3, 2017",Walt Disney,Action
Despicable Me 3,Despicable Me 3,"Jun 30, 2017",Universal,Adventure
Logan,Logan,"Mar 3, 2017",20th Century Fox,Action
The Fate of the Furious,The Fate of the Furi,"Apr 14, 2017",Universal,Action
Justice League,Justice League,"Nov 17, 2017",Warner Bros.,Action
Dunkirk,Dunkirk,"Jul 21, 2017",Warner Bros.,Action
Coco,Coco,"Nov 22, 2017",Walt Disney,Musical
The Lego Batman Movie,The Lego Batman Movi,"Feb 10, 2017",Warner Bros.,Adventure
Get Out,Get Out,"Feb 24, 2017",Universal,Horror
The Boss Baby,The Boss Baby,"Mar 31, 2017",20th Century Fox,Adventure
Pirates of the Caribbean: D…,Pirates of the Carib,"May 26, 2017",Walt Disney,Adventure
Jumanji: Welcome to the Jungle,Jumanji: Welcome to ,"Dec 20, 2017",Sony Pictures,Adventure
Kong: Skull Island,Kong: Skull Island,"Mar 10, 2017",Warner Bros.,Adventure
Hidden Figures,Hidden Figures,"Dec 25, 2016",20th Century Fox,Drama
Cars 3,Cars 3,"Jun 16, 2017",Walt Disney,Adventure
War for the Planet of the Apes,War for the Planet o,"Jul 14, 2017",20th Century Fox,Action
Split,Split,"Jan 20, 2017",Universal,Horror
Transformers: The Last Knight,Transformers: The La,"Jun 21, 2017",Paramount Pictures,Action
Wonder,Wonder,"Nov 17, 2017",Lionsgate,Drama
La La Land,La La Land,"Dec 9, 2016",Lionsgate,Musical
Girls Trip,Girls Trip,"Jul 21, 2017",Universal,Comedy
Fifty Shades Darker,Fifty Shades Darker,"Feb 10, 2017",Universal,Drama
Baby Driver,Baby Driver,"Jun 28, 2017",Sony Pictures,Thriller/Suspense
Rogue One: A Star Wars Story,Rogue One: A Star Wa,"Dec 16, 2016",Walt Disney,Adventure
Sing,Sing,"Dec 21, 2016",Universal,Musical
Annabelle: Creation,Annabelle: Creation,"Aug 11, 2017",Warner Bros.,Horror
Daddy’s Home 2,Daddy’s Home 2,"Nov 10, 2017",Paramount Pictures,Comedy
Murder on the Orient Express,Murder on the Orient,"Nov 10, 2017",20th Century Fox,Drama
Kingsman: The Golden Circle,Kingsman: The Golden,"Sep 22, 2017",20th Century Fox,Action
John Wick: Chapter Two,John Wick: Chapter T,"Feb 10, 2017",Lionsgate,Action
Blade Runner 2049,Blade Runner 2049,"Oct 6, 2017",Warner Bros.,Thriller/Suspense
The Emoji Movie,The Emoji Movie,"Jul 28, 2017",Sony Pictures,Adventure
Power Rangers,Power Rangers,"Mar 24, 2017",Lionsgate,Action
The Mummy,The Mummy,"Jun 9, 2017",Universal,Adventure
The Hitman’s Bodyguard,The Hitman’s Bodygua,"Aug 18, 2017",Lionsgate,Action
Alien: Covenant,Alien: Covenant,"May 19, 2017",20th Century Fox,Horror
Captain Underpants: The Fir…,Captain Underpants: ,"Jun 2, 2017",20th Century Fox,Adventure
A Bad Moms Christmas,A Bad Moms Christmas,"Nov 1, 2017",STX Entertainment,Comedy
A Dog’s Purpose,A Dog’s Purpose,"Jan 27, 2017",Universal,Drama
Pitch Perfect 3,Pitch Perfect 3,"Dec 22, 2017",Universal,Comedy
The Lego Ninjago Movie,The Lego Ninjago Mov,"Sep 22, 2017",Warner Bros.,Adventure
Baywatch,Baywatch,"May 25, 2017",Paramount Pictures,Comedy
The Shack,The Shack,"Mar 3, 2017",Lionsgate,Drama
Happy Death Day,Happy Death Day,"Oct 13, 2017",Universal,Horror
Ferdinand,Ferdinand,"Dec 15, 2017",20th Century Fox,Adventure
Atomic Blonde,Atomic Blonde,"Jul 28, 2017",Focus Features,Thriller/Suspense
American Made,American Made,"Sep 29, 2017",Universal,Action
The Dark Tower,The Dark Tower,"Aug 4, 2017",Sony Pictures,Western
The Greatest Showman,The Greatest Showman,"Dec 20, 2017",20th Century Fox,Musical
Tyler Perry’s Boo 2! A Made…,Tyler Perry’s Boo 2!,"Oct 20, 2017",Lionsgate,Comedy
Lion,Lion,"Nov 25, 2016",Weinstein Co.,Drama
Snatched,Snatched,"May 12, 2017",20th Century Fox,Comedy
The Great Wall,The Great Wall,"Feb 17, 2017",Universal,Action
Smurfs: The Lost Village,Smurfs: The Lost Vil,"Apr 7, 2017",Sony Pictures,Adventure
Going in Style,Going in Style,"Apr 7, 2017",Warner Bros.,Comedy
All Eyez on Me,All Eyez on Me,"Jun 16, 2017",Lionsgate,Drama
xXx: Return of Xander Cage,xXx: Return of Xande,"Jan 20, 2017",Paramount Pictures,Action
Passengers,Passengers,"Dec 21, 2016",Sony Pictures,Drama
47 Meters Down,47 Meters Down,"Jun 16, 2017",Entertainment Stu…,Thriller/Suspense
The Big Sick,The Big Sick,"Jun 23, 2017",Lionsgate,Romantic Comedy
Ghost in the Shell,Ghost in the Shell,"Mar 31, 2017",Paramount Pictures,Action
Valerian and the City of a …,Valerian and the Cit,"Jul 21, 2017",STX Entertainment,Adventure
The Star,The Star,"Nov 17, 2017",Sony Pictures,Adventure
King Arthur: Legend of the …,King Arthur: Legend ,"May 12, 2017",Warner Bros.,Adventure
Moana,Moana,"Nov 23, 2016",Walt Disney,Musical
Jigsaw,Jigsaw,"Oct 27, 2017",Lionsgate,Horror
American Assassin,American Assassin,"Sep 15, 2017",Lionsgate,Thriller/Suspense
The Foreigner,The Foreigner,"Oct 13, 2017",STX Entertainment,Action
"Everything, Everything","Everything, Everythi","May 19, 2017",Warner Bros.,Drama
Wind River,Wind River,"Aug 4, 2017",Weinstein Co.,Thriller/Suspense
Geostorm,Geostorm,"Oct 20, 2017",Warner Bros.,Thriller/Suspense
Monster Trucks,Monster Trucks,"Jan 13, 2017",Paramount Pictures,Adventure
Fist Fight,Fist Fight,"Feb 17, 2017",Warner Bros.,Comedy
How to Be a Latin Lover,How to Be a Latin Lo,"Apr 28, 2017",Lionsgate,Comedy
Lady Bird,Lady Bird,"Nov 3, 2017",A24,Drama
Patriots Day,Patriots Day,"Dec 21, 2016",Lionsgate,Thriller/Suspense
Kidnap,Kidnap,"Aug 4, 2017",Aviron Pictures,Thriller/Suspense
Underworld: Blood Wars,Underworld: Blood Wa,"Jan 6, 2017",Sony Pictures,Action
The Mountain Between Us,The Mountain Between,"Oct 6, 2017",20th Century Fox,Adventure
Life,Life,"Mar 24, 2017",Sony Pictures,Thriller/Suspense
Why Him?,Why Him?,"Dec 23, 2016",20th Century Fox,Comedy
The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty,"Aug 11, 2017",Open Road,Adventure
Fences,Fences,"Dec 16, 2016",Paramount Pictures,Drama
Rings,Rings,"Feb 3, 2017",Paramount Pictures,Horror
Logan Lucky,Logan Lucky,"Aug 18, 2017",Bleecker Street,Comedy
Home Again,Home Again,"Sep 8, 2017",Open Road,Romantic Comedy
Resident Evil: The Final Ch…,Resident Evil: The F,"Jan 27, 2017",Sony Pictures,Horror
The House,The House,"Jun 30, 2017",Warner Bros.,Comedy
Gifted,Gifted,"Apr 7, 2017",,Drama
Three Billboards Outside Eb…,Three Billboards Out,"Nov 10, 2017",Fox Searchlight,Black Comedy
The Bye Bye Man,The Bye Bye Man,"Jan 13, 2017",STX Entertainment,Horror
Victoria and Abdul,Victoria and Abdul,"Sep 22, 2017",,Drama
Rough Night,Rough Night,"Jun 16, 2017",Sony Pictures,Black Comedy
My Little Pony: The Movie,My Little Pony: The ,"Oct 6, 2017",Lionsgate,Adventure
Leap!,Leap!,"Aug 25, 2017",Weinstein Co.,Adventure
Sleepless,Sleepless,"Jan 13, 2017",Open Road,Thriller/Suspense
