Movie,trunc,Share Of Number One Market,Number One Market
Frozen,Frozen,28.4%,Japan
Iron Man 3,Iron Man 3,6.3%,South Korea
The Hobbit: The Desolation of Smaug,The Hobbit: The Deso,4.1%,Australia
Despicable Me 2,Despicable Me 2,11.9%,United Kingdom
Fast and Furious 6,Fast and Furious 6,6.0%,United Kingdom
Monsters University,Monsters University,9.9%,United Kingdom
The Hunger Games: Catching Fire,The Hunger Games: Ca,11.7%,United Kingdom
Thor: The Dark World,Thor: The Dark World,8.2%,Russia (CIS)
Gravity,Gravity,10.1%,United Kingdom
The Croods,The Croods,9.7%,United Kingdom
Man of Steel,Man of Steel,5.8%,Australia
World War Z,World War Z,9.6%,South Korea
Pacific Rim,Pacific Rim,1.8%,Australia
The Wolverine,The Wolverine,0.1%,Bulgaria
The Smurfs 2,The Smurfs 2,8.3%,Germany
The Wolf of Wall Street,The Wolf of Wall Str,5.5%,Australia
Oz the Great and Powerful,Oz the Great and Pow,,
G.I. Joe: Retaliation,G.I. Joe: Retaliatio,5.8%,Russia (CIS)
The Hangover 3,The Hangover 3,0.7%,Ukraine
Star Trek Into Darkness,Star Trek Into Darkn,5.0%,Australia
A Good Day to Die Hard,A Good Day to Die Ha,9.0%,Japan
Now You See Me,Now You See Me,,
The Great Gatsby,The Great Gatsby,8.5%,Australia
Xi you xiang mo pian,Xi you xiang mo pian,,China
Turbo,Turbo,11.4%,France
Oblivion,Oblivion,,
Elysium,Elysium,5.6%,Spain
After Earth,After Earth,0.5%,South Africa
The Conjuring,The Conjuring,8.2%,South Korea
The Lone Ranger,The Lone Ranger,,
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Wit,,
Epic,Epic,3.7%,Spain
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance,12.5%,United Kingdom
Disney Planes,Disney Planes,9.5%,United Kingdom
Jack the Giant Slayer,Jack the Giant Slaye,11.1%,Russia (CIS)
White House Down,White House Down,7.6%,Japan
Percy Jackson: Sea of Monsters,Percy Jackson: Sea o,8.5%,Brazil
The Secret Life of Walter Mitty,The Secret Life of W,4.7%,South Korea
12 Years a Slave,12 Years a Slave,5.3%,Italy
We’re the Millers,We’re the Millers,2.7%,Spain
Si Ren Ding Zhi,Si Ren Ding Zhi,44.7%,China
Kaze Tachinu,Kaze Tachinu,99.5%,Japan
Captain Phillips,Captain Phillips,22.5%,United Kingdom
Grown Ups 2,Grown Ups 2,6.4%,Brazil
47 Ronin,47 Ronin,2.5%,Japan
American Hustle,American Hustle,3.9%,Australia
Zhi wo men zhong jiang shi qu de qing chun,Zhi wo men zhong jia,,China
Di Renjie zhi shendu longwang (狄仁傑之神都龍王)…,Di Renjie zhi shendu,,
RED 2,RED 2,7.7%,Japan
Walking with Dinosaurs,Walking with Dinosau,11.3%,United Kingdom
Jing cha gu shi er ling yi san,Jing cha gu shi er l,,China
7-beon-bang-ui seon-mul,7-beon-bang-ui seon-,97.0%,South Korea
Běijīng yù shàng xi yǎ tú,Běijīng yù shàng xi ,,China
Fack ju Göthe,Fack ju Göthe,91.2%,Germany
The Attacks of 26/11,The Attacks of 26/11,100.0%,United Kingdom
Escape Plan,Escape Plan,5.8%,United Kingdom
Insidious Chapter 2,Insidious Chapter 2,,
Snowpiercer,Snowpiercer,65.3%,South Korea
Byeon-ho-in,Byeon-ho-in,,South Korea
Mama,Mama,13.5%,Spain
Olympus Has Fallen,Olympus Has Fallen,8.3%,United Kingdom
Rush,Rush,17.9%,United Kingdom
The Heat,The Heat,5.1%,Brazil
Sole A Catinelle,Sole A Catinelle,99.9%,Italy
Blue Jasmine,Blue Jasmine,11.9%,United Kingdom
About Time,About Time,27.1%,South Korea
Stalingrad,Stalingrad,76.9%,Russia (CIS)
Ender's Game,Ender's Game,7.2%,United Kingdom
Byeonhoin (변호인),Byeonhoin (),100.0%,South Korea
Eien No 0,Eien No 0,,
Dhoom 3,Dhoom 3,94.1%,India
Gwansang,Gwansang,,South Korea
Chennai Express,Chennai Express,72.5%,India
Philomena,Philomena,27.9%,United Kingdom
Lee Daniels' The Butler,Lee Daniels' The But,11.2%,Spain
Jackass Presents: Bad Grandpa,Jackass Presents: Ba,17.8%,United Kingdom
Gangster Squad,Gangster Squad,14.1%,United Kingdom
2 Guns,2 Guns,5.5%,Spain
No se Aceptan Devoluciones,No se Aceptan Devolu,20.0%,South Korea
Free Birds,Free Birds,10.8%,Russia (CIS)
The Book Thief,The Book Thief,3.3%,Germany
The Counselor,The Counselor,10.0%,Russia (CIS)
Riddick,Riddick,4.2%,Malaysia
Prisoners,Prisoners,22.4%,United Kingdom
Yi dai zong shi,Yi dai zong shi,17.8%,China
Feng Bao,Feng Bao,,China
The Internship,The Internship,9.2%,Brazil
Last Vegas,Last Vegas,16.3%,Russia (CIS)
Kokuriko-zaka Kara,Kokuriko-zaka Kara,0.1%,Australia
Warm Bodies,Warm Bodies,15.4%,South Korea
Bereurlin,Bereurlin,,
Carrie,Carrie,,
Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deew,0.1%,United Kingdom
Scary Movie V,Scary Movie V,7.7%,United Kingdom
R.I.P.D.,R.I.P.D.,2.4%,Mexico
Kokowaah,Kokowaah,0.0%,Belgium
Eunmilhage Widaehage,Eunmilhage Widaehage,,South Korea
Anchorman 2: The Legend Continues,Anchorman 2: The Leg,30.9%,United Kingdom
The Mortal Instruments: City of Bones,The Mortal Instrumen,,
Evil Dead,Evil Dead,10.5%,Russia (CIS)
The Family,The Family,,
Chu zi Xi zi Pi zi,Chu zi Xi zi Pi zi,,China
Krrish 3,Krrish 3,96.8%,India
Runner Runner,Runner Runner,5.0%,Mexico
Identity Thief,Identity Thief,17.8%,United Kingdom
Beautiful Creatures,Beautiful Creatures,,
Grudge Match,Grudge Match,0.7%,United Arab Emirates
One Direction: This is Us,One Direction: This ,25.7%,United Kingdom
Doragon Bōru Zetto Kami to Kami,Doragon Bōru Zetto K,0.1%,United Kingdom
The Host,The Host,13.9%,United Kingdom
Sumbakokjil,Sumbakokjil,,South Korea
The Last Stand,The Last Stand,7.6%,Russia (CIS)
Side Effects,Side Effects,,
Kick-Ass 2,Kick-Ass 2,,
Metegol,Metegol,41.9%,Argentina
Gamshijadeul,Gamshijadeul,100.0%,South Korea
Dallas Buyers Club,Dallas Buyers Club,6.1%,Australia
Deo Tereo Raibeu,Deo Tereo Raibeu,,South Korea
Man Tam,Man Tam,100.0%,China
Saving Mr. Banks,Saving Mr. Banks,19.1%,United Kingdom
Homefront,Homefront,8.5%,Russia (CIS)
Pain & Gain,Pain & Gain,11.9%,Russia (CIS)
Les Profs,Les Profs,46.7%,France
Parker,Parker,24.6%,Russia (CIS)
A Wedding Invitation,A Wedding Invitation,,China
Say Yes,Say Yes,0.3%,Taiwan
Kokowaah 2,Kokowaah 2,84.1%,Germany
Meitantei Konan Zekkai no Puraibēto Ai,Meitantei Konan Zekk,,Japan
Quan Min Mu Ji,Quan Min Mu Ji,,China
I Give It a Year,I Give It a Year,33.4%,United Kingdom
Race 2,Race 2,5.1%,United Kingdom
Manatsu no hôteishiki,Manatsu no hôteishik,,Japan
Schlussmacher,Schlussmacher,89.8%,Germany
Daai mo seut si,Daai mo seut si,,
Jobs,Jobs,6.8%,Italy
Belle et Sébastien,Belle et Sébastien,46.5%,France
Un monstre à Paris,Un monstre à Paris,0.4%,South Korea
The Purge,The Purge,2.9%,Mexico
Legenda No. 17,Legenda No. 17,44.3%,Russia (CIS)
The Big Wedding,The Big Wedding,3.1%,Italy
La grande bellezza,La grande bellezza,3.3%,Australia
Sinsegye,Sinsegye,100.0%,South Korea
Yi Ye Jing Xi,Yi Ye Jing Xi,100.0%,China
Justin Bieber’s Believe,Justin Bieber’s Beli,,
Platinum Data,Platinum Data,100.0%,Japan
The Place Beyond the Pines,The Place Beyond the,19.6%,France
This is the End,This is the End,2.9%,Brazil
Te shu shen fen,Te shu shen fen,3.9%,Singapore
Ram-Leela,Ram-Leela,98.5%,India
Delivery Man,Delivery Man,11.5%,Russia (CIS)
Lone Survivor,Lone Survivor,1.5%,Venezuela
Bei Tou Zou De Wu Nian,Bei Tou Zou De Wu Ni,91.2%,China
Baksoogundal,Baksoogundal,,South Korea
Du zhan,Du zhan,2.4%,Hong Kong
Kuai Le Dao Jia,Kuai Le Dao Jia,,China
Safe Haven,Safe Haven,23.3%,Australia
Seupai,Seupai,96.4%,South Korea
Nosotros Los Nobles,Nosotros Los Nobles,77.4%,Mexico
Feichang Xingyun,Feichang Xingyun,,
Mandela: Long Walk to Freedom,Mandela: Long Walk t,9.9%,Germany
Nazotoki Wa Dinner No Ato De,Nazotoki Wa Dinner N,,Japan
The World's End,The World's End,55.6%,United Kingdom
Khumba,Khumba,27.7%,China
La Vie d'Adèle – Chapitres 1 & 2,La Vie d'Adèle – Cha,1.7%,South Korea
Trance,Trance,33.5%,United Kingdom
Tai Chi Hero,Tai Chi Hero,,
A Haunted House,A Haunted House,24.6%,Brazil
Inside Llewyn Davis,Inside Llewyn Davis,21.7%,France
Soshite chichi ni naru,Soshite chichi ni na,4.4%,South Korea
The Call,The Call,88.8%,Russia (CIS)
Kaguyahime no monogatari,Kaguyahime no monoga,92.8%,Japan
Boule et Bill,Boule et Bill,91.8%,France
9 mois ferme,9 mois ferme,97.4%,France
Broken City,Broken City,15.6%,Spain
Escape From Planet Earth,Escape From Planet E,16.2%,Australia
Spring Breakers,Spring Breakers,27.3%,France
Don Jon,Don Jon,7.7%,United Kingdom
21 and Over,21 and Over,17.6%,Russia (CIS)
Les gamins,Les gamins,42.0%,France
Hwai: Goimooleul Samkin Ai,Hwai: Goimooleul Sam,100.0%,South Korea
Before Midnight,Before Midnight,9.2%,South Korea
Snitch,Snitch,29.0%,Singapore
Le passé,Le passé,4.8%,Italy
Shootout at Wadala,Shootout at Wadala,,India
Redemption,Redemption,4.6%,Spain
Texas Chainsaw 3D,Texas Chainsaw 3D,0.0%,Australia
La Cage Doree,La Cage Doree,39.1%,Portugal
Bullet to the Head,Bullet to the Head,11.4%,Russia (CIS)
August: Osage County,August: Osage County,,
Los amantes pasajeros,Los amantes pasajero,0.9%,Australia
Gekijoban Mahou Shojo Madoka Magica Shinpen Han…,Gekijoban Mahou Shoj,0.3%,South Korea
The Suspect,The Suspect,100.0%,South Korea
Mongtajoo,Mongtajoo,,South Korea
Duong Gia Tuong,Duong Gia Tuong,,Hong Kong
Diana,Diana,5.1%,Russia (CIS)
Wara No Tate,Wara No Tate,0.1%,Germany
Emperor,Emperor,0.5%,United Arab Emirates
Kai Po Che,Kai Po Che,2.5%,United Kingdom
Toshokan Senso,Toshokan Senso,,Japan
Aashiqui 2,Aashiqui 2,,India
Himmatwala,Himmatwala,3.0%,United Kingdom
Stoker,Stoker,24.3%,South Korea
Dark Skies,Dark Skies,31.6%,United Kingdom
The Last Exorcism Part II,The Last Exorcism Pa,,
Machete Kills,Machete Kills,14.7%,Germany
Jeonseolui Joomeok,Jeonseolui Joomeok,,
Alceste a bicyclette,Alceste a bicyclette,92.1%,France
Septimo,Septimo,56.7%,Argentina
