link,Production Budget,Running Time,Genre,Production Method,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Talladega-Nights-The-Ballad-of-Ricky-Bobby#tab=summary,"$73,000,000",104 minutes,Comedy,Live Action,"Columbia Pictures,Relativity Media,Judd Apatow,Mosaic Media",United States,English,"August 04, 2006"
https://www.the-numbers.com/movie/Pink-Panther-The-(2006)#tab=summary,"$80,000,000",93 minutes,Adventure,Live Action,,United States,English,"February 10, 2006"
https://www.the-numbers.com/movie/Fast-and-the-Furious-Tokyo-Drift-The#tab=summary,"$85,000,000",104 minutes,Action,Live Action,,"United States,Germany","English,Japanese","June 15, 2006"
https://www.the-numbers.com/movie/Rocky-Balboa-(2006)#tab=summary,"$24,000,000",101 minutes,Drama,Live Action,,United States,English,"December 20, 2006"
https://www.the-numbers.com/movie/Dreamgirls#tab=summary,"$75,000,000",130 minutes,Musical,Live Action,"DreamWorks Pictures,Paramount Pictures,Laurence Mark",United States,English,"December 15, 2006"
https://www.the-numbers.com/movie/Garfield-A-Tail-of-Two-Kitties#tab=summary,"$60,000,000",86 minutes,Adventure,Animation/Live Action,Davis Entertainment,"United States,United Kingdom",English,"June 16, 2006"
https://www.the-numbers.com/movie/Charlottes-Web-(2006)#tab=summary,"$82,500,000",97 minutes,Drama,Live Action,"Nickelodeon Films,Walden Media,Paramount Pictures,Kerner Entertainment Company",United States,English,"December 15, 2006"
https://www.the-numbers.com/movie/Monster-House-(2006)#tab=summary,"$75,000,000",91 minutes,Adventure,Digital Animation,"Columbia Pictures,Robert Zemeckis,Steven Spielberg,Relativity Media,ImageMovers,Amblin Entertainment",United States,English,"July 21, 2006"
https://www.the-numbers.com/movie/Big-Mommas-House-2#tab=summary,"$40,000,000",99 minutes,Comedy,Live Action,"Regency Enterprises,20th Century Fox,Deep River Films,Firm Films,Runteldat Entertainment,New Regency",United States,English,"January 27, 2006"
https://www.the-numbers.com/movie/Perfume-The-Story-of-a-Murderer#tab=summary,"$63,700,000",147 minutes,Drama,Live Action,,Germany,,"December 27, 2006"
https://www.the-numbers.com/movie/Babel#tab=summary,"$20,000,000",143 minutes,Drama,Live Action,"Anonymous Content,Una Produccion De Zeta Film,Central Films","United States,Mexico,Morocco,Japan",English,"October 27, 2006"
https://www.the-numbers.com/movie/You-Me-and-Dupree#tab=summary,"$54,000,000",109 minutes,Comedy,Live Action,"Stuber-Parent,Avis-Davis",United States,English,"July 14, 2006"
https://www.the-numbers.com/movie/V-for-Vendetta#tab=summary,"$50,000,000",145 minutes,Action,Live Action,"Warner Bros.,Virtual Studios,Silver Pictures,Anarchos Productions","United States,Germany",English,"March 17, 2006"
https://www.the-numbers.com/movie/Queen-The#tab=summary,"$15,000,000",103 minutes,Drama,Live Action,"Pathe Production,Granada Productions,Pathe Renn Productions,Bim Distribuzione,France 3 Cinema,Canal Plus",United Kingdom,English,"September 15, 2006"
https://www.the-numbers.com/movie/Nanny-McPhee#tab=summary,"$25,000,000",99 minutes,Adventure,Live Action,"Universal Pictures,StudioCanal,Metro-Goldwyn-Mayer Pictures,Working Title Films,Strange Angels Productions",United Kingdom,English,"January 27, 2006"
https://www.the-numbers.com/movie/Failure-to-Launch#tab=summary,"$50,000,000",97 minutes,Romantic Comedy,Live Action,"Scott Rudin Productions,Aversano Films,Paramount Pictures",United States,English,"March 10, 2006"
https://www.the-numbers.com/movie/Apocalypto#tab=summary,"$40,000,000",138 minutes,Action,Live Action,"Icon Distribution, Inc.",United States,English,"December 08, 2006"
https://www.the-numbers.com/movie/Eight-Below#tab=summary,"$40,000,000",120 minutes,Adventure,Live Action,"Walt Disney Pictures,Spyglass Entertainment,Mandeville Films",United States,English,"February 17, 2006"
https://www.the-numbers.com/movie/Omen-The-(2006)#tab=summary,"$25,000,000",110 minutes,Horror,Live Action,,United States,English,"June 06, 2006"
https://www.the-numbers.com/movie/Barnyard-The-Original-Party-Animals#tab=summary,"$51,000,000",90 minutes,Adventure,Digital Animation,Nickelodeon Films,"Germany,United States",English,"August 04, 2006"
https://www.the-numbers.com/movie/Lake-House-The-(2006)#tab=summary,"$40,000,000",99 minutes,Drama,Live Action,"Warner Bros.,Vertigo Entertainment",United States,English,"June 16, 2006"
https://www.the-numbers.com/movie/Underworld-Evolution#tab=summary,"$45,000,000",,Action,Live Action,,United States,,"January 20, 2006"
https://www.the-numbers.com/movie/Final-Destination-3#tab=summary,"$25,000,000",92 minutes,Horror,Live Action,"New Line Cinema,Hard Eight Pictures,Practical Pictures,Matinee Pictures",United States,English,"February 10, 2006"
https://www.the-numbers.com/movie/Step-Up#tab=summary,"$12,000,000",103 minutes,Drama,Live Action,Summit Entertainment,United States,English,"August 11, 2006"
https://www.the-numbers.com/movie/Hoodwinked#tab=summary,"$17,500,000",80 minutes,Adventure,Digital Animation,,United States,English,"December 16, 2005"
https://www.the-numbers.com/movie/Santa-Clause-3-The-Escape-Clause-The#tab=summary,,97 minutes,Adventure,Live Action,,United States,English,"November 03, 2006"
https://www.the-numbers.com/movie/Deep-Sea-3D#tab=summary,,40 minutes,Documentary,Live Action,"Warner Bros.,IMAX Corporation",United States,English,"March 03, 2006"
https://www.the-numbers.com/movie/Prestige-The#tab=summary,"$40,000,000",130 minutes,Thriller/Suspense,Live Action,"Touchstone Pictures,Warner Bros.",United States,English,"October 20, 2006"
https://www.the-numbers.com/movie/Little-Man#tab=summary,"$64,000,000",,Comedy,Live Action,,United States,,"July 14, 2006"
https://www.the-numbers.com/movie/Little-Miss-Sunshine-(2006)#tab=summary,"$8,000,000",102 minutes,Comedy,Live Action,"Big Beach,Bonafide",United States,English,"July 26, 2006"
https://www.the-numbers.com/movie/Good-Shepherd-The#tab=summary,"$80,000,000",160 minutes,Drama,Live Action,,United States,English,"December 22, 2006"
https://www.the-numbers.com/movie/Nacho-Libre#tab=summary,"$32,000,000",90 minutes,Comedy,Live Action,"Nickelodeon Films,Black & White,Paramount Pictures",United States,English,"June 16, 2006"
https://www.the-numbers.com/movie/Wild-The#tab=summary,"$80,000,000",82 minutes,Adventure,Digital Animation,Walt Disney Pictures,United States,English,"April 14, 2006"
https://www.the-numbers.com/movie/Guardian-The-(2006)#tab=summary,"$70,000,000",139 minutes,Action,Live Action,"Touchstone Pictures,Beacon Pictures,Contrafilm,Firm Films",United States,English,"September 29, 2006"
https://www.the-numbers.com/movie/Silent-Hill-(2006)#tab=summary,"$50,000,000",125 minutes,Horror,Live Action,,"Japan,France,United States",,"April 21, 2006"
https://www.the-numbers.com/movie/R-V#tab=summary,"$55,000,000",98 minutes,Adventure,Live Action,"Columbia Pictures,Relativity Media,Red Wagon Entertainment,Intermedia Film,IMF",United States,English,"April 28, 2006"
https://www.the-numbers.com/movie/Volver#tab=summary,"$9,400,000",121 minutes,Comedy,Live Action,,Spain,Spanish,"July 06, 2006"
https://www.the-numbers.com/movie/Shaggy-Dog-The-(2006)#tab=summary,"$60,000,000",98 minutes,Comedy,Live Action,"Walt Disney Pictures,Mandeville Films,Boxing Cat",United States,English,"March 10, 2006"
https://www.the-numbers.com/movie/Laberinto-del-Fauno-El#tab=summary,"$16,000,000",119 minutes,Horror,Live Action,,"United States,Spain,Mexico",Spanish,"November 30, 2006"
https://www.the-numbers.com/movie/Jackass-Number-Two#tab=summary,"$11,000,000",92 minutes,Reality,Live Action,"Paramount Pictures,MTV Films,Dickhouse,Lynch Siderow Productions Inc",United States,English,"September 22, 2006"
https://www.the-numbers.com/movie/Date-Movie#tab=summary,"$20,000,000",82 minutes,Comedy,Live Action,"Regency Enterprises,New Regency",United States,English,"February 17, 2006"
https://www.the-numbers.com/movie/Bronzes-3-Amis-Pour-La-Vie-Les-(2006-France)#tab=summary,"$42,000,000",97 minutes,Comedy,Live Action,,France,French,
https://www.the-numbers.com/movie/Illusionist-The-(2006)#tab=summary,"$16,500,000",110 minutes,Drama,Live Action,,United States,English,"August 18, 2006"
https://www.the-numbers.com/movie/Firewall#tab=summary,"$50,000,000",105 minutes,Thriller/Suspense,Live Action,"Village Roadshow Productions,Beacon Pictures,Jon Shestack,Thunder Road Film,Warner Bros.",United States,English,"February 10, 2006"
https://www.the-numbers.com/movie/Hostel-(2006)#tab=summary,"$4,800,000",95 minutes,Horror,Live Action,"Screen Gems,Lionsgate,Quentin Tarantino,Next Entertainment,Raw Nerve",United States,English,"January 06, 2006"
https://www.the-numbers.com/movie/Sentinel-The#tab=summary,"$60,000,000",,Thriller/Suspense,Live Action,"20th Century Fox,Regency Enterprises,Further Films,New Regency",United States,English,"April 21, 2006"
https://www.the-numbers.com/movie/United-93#tab=summary,"$18,000,000",111 minutes,Drama,Live Action,"Universal Pictures,StudioCanal,Working Title Films",United States,English,"April 28, 2006"
https://www.the-numbers.com/movie/Man-cheng-jin-dai-huang-jin-jia#tab=summary,"$45,000,000",114 minutes,Action,Live Action,,"Hong Kong,China",Mandarin,"December 21, 2006"
https://www.the-numbers.com/movie/Lady-in-the-Water#tab=summary,"$75,000,000",110 minutes,Thriller/Suspense,Live Action,"Warner Bros.,Legendary Pictures,Blinding Edge Pictures",United States,English,"July 21, 2006"
https://www.the-numbers.com/movie/Curious-George#tab=summary,"$50,000,000",86 minutes,Adventure,Hand Animation,"Universal Pictures,Imagine Entertainment",United States,English,"February 10, 2006"
https://www.the-numbers.com/movie/Grudge-2-The#tab=summary,"$20,000,000",102 minutes,Horror,Live Action,,United States,"English,Japanese","October 13, 2006"
https://www.the-numbers.com/movie/Hills-Have-Eyes-The#tab=summary,"$17,000,000",107 minutes,Horror,Live Action,,United States,English,"March 10, 2006"
https://www.the-numbers.com/movie/Children-of-Men#tab=summary,"$76,000,000",109 minutes,Thriller/Suspense,Live Action,"Universal Pictures,Strike Entertainment",United States,English,"December 25, 2006"
https://www.the-numbers.com/movie/John-Tucker-Must-Die#tab=summary,,89 minutes,Romantic Comedy,Live Action,"20th Century Fox,Landscape Entertainment",United States,English,"July 28, 2006"
https://www.the-numbers.com/movie/Gedo-Senki-(2006-Japan)#tab=summary,,115 minutes,Adventure,Digital Animation,Studio Ghibli,Japan,Japanese,"July 28, 2006"
https://www.the-numbers.com/movie/Letters-from-Iwo-Jima#tab=summary,"$13,000,000",101 minutes,Drama,Live Action,"DreamWorks Pictures,Warner Bros.",United States,Japanese,"December 20, 2006"
https://www.the-numbers.com/movie/When-a-Stranger-Calls-(2006)#tab=summary,"$15,000,000",87 minutes,Horror,Live Action,"Screen Gems,Davis Entertainment",United States,English,"February 03, 2006"
https://www.the-numbers.com/movie/Huo-Yuan-Jia#tab=summary,,105 minutes,Drama,Live Action,,"United States,Hong Kong",,"September 22, 2006"
https://www.the-numbers.com/movie/16-Blocks#tab=summary,"$45,000,000",105 minutes,Action,Live Action,Millennium Films,United States,English,"March 03, 2006"
https://www.the-numbers.com/movie/Take-the-Lead#tab=summary,"$30,000,000",,Drama,Live Action,,United States,,"April 01, 2006"
https://www.the-numbers.com/movie/Benchwarmers-The#tab=summary,"$35,000,000",85 minutes,Comedy,Live Action,"Revolution Studios,Happy Madison",United States,English,"April 07, 2006"
https://www.the-numbers.com/movie/Flags-of-Our-Fathers#tab=summary,"$53,000,000",132 minutes,Drama,Live Action,"Malpaso Productions,DreamWorks Pictures,Amblin Entertainment","United States,Japan,Iceland",English,"October 20, 2006"
https://www.the-numbers.com/movie/Tyler-Perrys-Madeas-Family-Reunion#tab=summary,"$10,000,000",140 minutes,Comedy,Live Action,,United States,,"February 24, 2006"
https://www.the-numbers.com/movie/Snakes-on-a-Plane#tab=summary,"$33,000,000",106 minutes,Thriller/Suspense,Live Action,Mutual Film Company,United States,English,"August 18, 2006"
https://www.the-numbers.com/movie/Umizaru-2-Limit-of-Love-(2006-Japan)#tab=summary,,117 minutes,Drama,Live Action,,Japan,Japanese,
https://www.the-numbers.com/movie/Marie-Antoinette#tab=summary,"$40,000,000",123 minutes,Drama,Live Action,,"United States,France,Japan","English,Latin,French","October 20, 2006"
https://www.the-numbers.com/movie/My-Super-Ex-Girlfriend#tab=summary,"$30,000,000",95 minutes,Romantic Comedy,Live Action,"Regency Enterprises,Pariah Productions,New Regency",United States,English,"July 21, 2006"
https://www.the-numbers.com/movie/Invincible-(2006)#tab=summary,"$40,000,000",104 minutes,Drama,Live Action,Walt Disney Pictures,United States,English,"August 25, 2006"
https://www.the-numbers.com/movie/Descent-The#tab=summary,"$7,000,000",100 minutes,Thriller/Suspense,Live Action,"Celador Films,Northmen Productions",United Kingdom,English,"August 04, 2006"
https://www.the-numbers.com/movie/Lucky-Number-Slevin#tab=summary,"$27,000,000",110 minutes,Thriller/Suspense,Live Action,"Weinstein Company,Ascendant Pictures",United States,English,"April 07, 2006"
https://www.the-numbers.com/movie/Shes-the-Man-(2006)#tab=summary,"$25,000,000",105 minutes,Romantic Comedy,Live Action,Donners’ Company,United States,English,"March 17, 2006"
https://www.the-numbers.com/movie/Stranger-Than-Fiction#tab=summary,"$30,000,000",105 minutes,Comedy,Live Action,"Columbia Pictures,Mandate Pictures",United States,English,"November 10, 2006"
https://www.the-numbers.com/movie/Inconvenient-Truth-An#tab=summary,"$1,000,000",97 minutes,Documentary,Live Action,Participant Media,United States,English,"May 24, 2006"
https://www.the-numbers.com/movie/Sinking-of-Japan-The-(2006-Japan)#tab=summary,,135 minutes,Adventure,Live Action,,Japan,,
https://www.the-numbers.com/movie/Notes-on-a-Scandal#tab=summary,"$27,500,000",92 minutes,Drama,Live Action,"Fox Searchlight Pictures,DNA Films,UK Film Council,BBC Films,Scott Rudin Productions,Robert Fox",United Kingdom,English,"December 25, 2006"
https://www.the-numbers.com/movie/Texas-Chainsaw-Massacre-The-Beginning-The-(2006)#tab=summary,"$16,000,000",84 minutes,Horror,Live Action,"New Line Cinema,Michael Bay,Platinum Dunes,Vortex,Henkel,Hooper",United States,English,"October 06, 2006"
https://www.the-numbers.com/movie/Ant-Bully-The#tab=summary,"$45,000,000",89 minutes,Adventure,Digital Animation,Legendary Pictures,United States,English,"July 28, 2006"
