link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Sunny-(2011-South-Korea)#tab=summary,134 minutes,Comedy,Live Action,Contemporary Fiction,Republic of Korea,Korean,"May 04, 2011",,,,
https://www.the-numbers.com/movie/Arthur-(2011)#tab=summary,110 minutes,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"April 08, 2011","$40,000,000","PG-13for alcohol use throughout, sexual content, language and some drug references.(Rating bulletin 2163, 3/16/2011)","Warner Bros.,MBST Entertainment,Benderspink Productions,Langley Park Pictures",
https://www.the-numbers.com/movie/Born-to-be-Wild-3D#tab=summary,40 minutes,Documentary,Live Action,Factual,United States,English,"April 08, 2011",,"G(Rating bulletin 2159, 2/16/2011)",Warner Bros.,
https://www.the-numbers.com/movie/Soul-Surfer#tab=summary,106 minutes,Drama,Live Action,Dramatization,United States,English,"April 08, 2011","$18,000,000","PGfor an intense accident sequence and some thematic material.(Rating bulletin 2143, 10/20/2010)","Tri-Star Pictures,FilmDistrict,Enticing Entertainment,Island Film Group,Affirm Films,Brookwell McNamara Entertainment,Life's a Beach Entertainment,Mandalay Vision",
https://www.the-numbers.com/movie/Meitantei-Conan-Chinmoku-no-kuota-(2011-Japan)#tab=summary,109 minutes,Thriller/Suspense,Digital Animation,Science Fiction,Japan,Japanese,"April 16, 2011",,,"Nippon Television Network,Sho Productions,Shogakukan,TMS Entertainment,Toho Co,Yomiuri Telecasting Corporation",Detective Conan
https://www.the-numbers.com/movie/Debt-The#tab=summary,113 minutes,Thriller/Suspense,Live Action,Historical Fiction,United States,English,"August 31, 2011","$20,000,000","Rfor some violence and language(Rating bulletin 2109, 2/24/2010)",MARV Films,
https://www.the-numbers.com/movie/Des-Hommes-et-Des-Dieux#tab=summary,122 minutes,Drama,Live Action,Dramatization,France,"French,Arabic","February 25, 2011","$5,000,000","Rfor a scene of graphic violence.(Rating bulletin 2140, 9/29/2010)PG-13for a momentary scene of startling wartime violence, some disturbing images and brief language.(Rating bulletin 2154, 1/12/2011)","Why Not Productions,Armada Films,France 3 Cinema,Cinemage 4,Cofinova 6,Soficinema 6,France Television,Canal Plus,Cinecinema,Centre National de la Cinematographie",
https://www.the-numbers.com/movie/Ra-One#tab=summary,156 minutes,Action,Live Action,Science Fiction,India,Hindi,"October 26, 2011",,Not Rated,,
https://www.the-numbers.com/movie/Dream-House#tab=summary,92 minutes,Horror,Live Action,Contemporary Fiction,"United States,Canada",English,"September 30, 2011","$50,000,000","PG-13for violence, terror, some sexuality and brief strong language.(Rating bulletin 2180, 7/13/2011)","Bobker/Kruger Films,Morgan Creek Productions",
https://www.the-numbers.com/movie/5050#tab=summary,100 minutes,Black Comedy,Live Action,Contemporary Fiction,United States,English,"September 30, 2011","$8,000,000","Rfor language throughout, sexual content and some drug use","Summit Entertainment,Mandate Pictures,Point Grey",
