link,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies
https://www.the-numbers.com/movie/Nazotoki-Wa-Dinner-No-Ato-De#tab=summary,121 minutes,Thriller/Suspense,Live Action,Japan,Japanese,"August 03, 2013",,
https://www.the-numbers.com/movie/Khumba#tab=summary,85 minutes,Adventure,Digital Animation,South Africa,English,"October 11, 2013","$15,000,000",Triggerfish Studios
https://www.the-numbers.com/movie/Tai-Chi-Hero#tab=summary,102 minutes,Action,Live Action,China,"Mandarin,English","April 26, 2013",,"Huayi Brothers Corp.,Huayi Brothers International,Shanghai Stone-Capital Culture Investment,Hunan Highland Culture Media Venture Partnership,Diversion Pictures"
https://www.the-numbers.com/movie/Soshite-chichi-ni-naru#tab=summary,120 minutes,Drama,Live Action,Japan,Japanese,"October 25, 2013",,"Film, Inc."
https://www.the-numbers.com/movie/Dead-Man-Down#tab=summary,118 minutes,Thriller/Suspense,Live Action,United States,"English,French,Hungarian,Albanian,Spanish","March 07, 2013","$30,000,000","FilmDistrict,IM Global,WWE Studios,Original Film,Frequency Films"
https://www.the-numbers.com/movie/Kaguyahime-no-monogatari#tab=summary,137 minutes,Drama,Hand Animation,Japan,Japanese,"November 23, 2013",,Studio Ghibli
https://www.the-numbers.com/movie/Admission#tab=summary,117 minutes,Romantic Comedy,Live Action,United States,English,"March 22, 2013","$13,000,000","Focus Features,Depth of Field"
https://www.the-numbers.com/movie/Machete-Kills#tab=summary,107 minutes,Action,Live Action,United States,"English,Spanish","October 11, 2013","$20,000,000","Open Road Films,AR Films,Demarest Films,Quick Draw,Aldamisa Entertainment,Overnight Films,1821 Pictures"
https://www.the-numbers.com/movie/Boule-et-Bill#tab=summary,82 minutes,Adventure,Live Action,"France,Belgium,Luxembourg",French,"February 27, 2013",,"LGM Cinema,StudioCanal,TF1 Film Productions,Nexus Factory,Bidibul Productions,BNP Paribas Film Fund,Fortis Film Fund,uFilm,UFund,Canal Plus,Cine Plus"
https://www.the-numbers.com/movie/9-mois-ferme#tab=summary,,Comedy,Live Action,France,French,"October 16, 2013",,
https://www.the-numbers.com/movie/Fruitvale-Station#tab=summary,84 minutes,Drama,Live Action,United States,English,"July 12, 2013","$900,000",Significant Productions
https://www.the-numbers.com/movie/Battle-of-the-Year-The-Dream-Team#tab=summary,109 minutes,Drama,Live Action,United States,English,"September 20, 2013","$20,000,000","Screen Gems,Contrafilm"
https://www.the-numbers.com/movie/Paranoia-(2012)#tab=summary,146 minutes,Thriller/Suspense,Live Action,United States,English,"August 16, 2013","$40,000,000","Relativity Media,Reliance Entertainment,Demarest Films,IM Global,E Stars Distribution,Emjag,Gaumont,Film 360,Deepak Nayar"
https://www.the-numbers.com/movie/passe-Le#tab=summary,130 minutes,Drama,Live Action,"France,Islamic Republic of Iran","French,Persian,English","November 21, 2013","$8,000,000",Memento Films International
https://www.the-numbers.com/movie/Gamins-Les#tab=summary,95 minutes,Comedy,Live Action,France,French,"April 17, 2013","$9,000,000",
https://www.the-numbers.com/movie/Out-of-the-Furnace#tab=summary,115 minutes,Drama,Live Action,"United States,United Kingdom",English,"December 04, 2013","$22,000,000","Relativity Media,Red Granite Pictures"
https://www.the-numbers.com/movie/Hwai-Goimooleul-Samkin-Ai-(2021-South-Korea)#tab=summary,125 minutes,Thriller/Suspense,Live Action,Republic of Korea,Korean,"October 09, 2013",,
https://www.the-numbers.com/movie/Emperor-(2012)#tab=summary,106 minutes,Drama,Live Action,"United States,Japan","English,Japanese","March 08, 2013",,"Fellers Film,Krasnoff/Foster Entertainment"
https://www.the-numbers.com/movie/Journey-to-the-South-Pacific#tab=summary,40 minutes,Documentary,Live Action,United States,English,"November 27, 2013",,IMAX Corporation
https://www.the-numbers.com/movie/Shootout-at-Wadala#tab=summary,155 minutes,Action,Live Action,India,Hindi,"May 03, 2013",,
https://www.the-numbers.com/movie/amantes-pasajeros-Los#tab=summary,89 minutes,Comedy,Live Action,Spain,Spanish,"June 28, 2013",,"El Deseo,TVE.,Canal Plus"
https://www.the-numbers.com/movie/Pulling-Strings#tab=summary,112 minutes,Romantic Comedy,Live Action,Mexico,"English,Spanish","October 04, 2013",,"Pantelion Films,Traziende Films,Efcine,Lionsgate"
https://www.the-numbers.com/movie/Redemption-(2013)#tab=summary,100 minutes,Thriller/Suspense,Live Action,"United States,United Kingdom",English,"June 28, 2013","$23,000,000","Shoebox Films,Lionsgate,Roadside Attractions,IM Global"
https://www.the-numbers.com/movie/Cage-Doree-La#tab=summary,90 minutes,Comedy,Live Action,"France,Portugal","French,English,Portuguese","April 24, 2013",,
https://www.the-numbers.com/movie/Gekijoban-Mahou-Shojo-Madoka-Magica-Shinpen-Hangyoku-no-Monogatari#tab=summary,116 minutes,Adventure,Hand Animation,Japan,Japanese,"December 06, 2013",,
https://www.the-numbers.com/movie/Suspect-The#tab=summary,137 minutes,Thriller/Suspense,Live Action,United States,English,"December 24, 2013",,Modoc Spring
https://www.the-numbers.com/movie/Kai-Po-Che#tab=summary,120 minutes,Drama,Live Action,India,Hindi,"February 22, 2013",,UTV Motion Pictures
https://www.the-numbers.com/movie/Bling-Ring-The#tab=summary,90 minutes,Drama,Live Action,United States,English,"June 14, 2013",,"Nala Films,American Zoetrope,Pathe Distribution,Tohokushinsha Film Corporation,Tobis Film GMBH & Co.,KG,StudioCanal,FilmNation Entertainment"
https://www.the-numbers.com/movie/Promised-Land-(2011)#tab=summary,106 minutes,Drama,Live Action,United States,English,"December 28, 2012","$15,000,000","Focus Features,Participant Media,Image Nation Abu Dhabi,Sunday Night,Pearl Street,Media Farm"
https://www.the-numbers.com/movie/Mongtajoo-(South-Korea)#tab=summary,120 minutes,Thriller/Suspense,Live Action,Republic of Korea,Korean,"May 16, 2013",,
https://www.the-numbers.com/movie/Stoker#tab=summary,100 minutes,Drama,Live Action,"United States,United Kingdom",English,"February 28, 2013","$12,000,000","Scott Free Films,Indian Paintbrush"
https://www.the-numbers.com/movie/Diana#tab=summary,113 minutes,Drama,Live Action,"United Kingdom,France,Sweden",English,"September 26, 2013",,"Ecosse Films,Scope Pictures,Le Pacte,Film i Vast,Filmgate Films"
https://www.the-numbers.com/movie/Duong-Gia-Tuong#tab=summary,102 minutes,Action,Live Action,"China,Hong Kong",Mandarin,"April 04, 2013",,
https://www.the-numbers.com/movie/Getaway#tab=summary,89 minutes,Thriller/Suspense,Live Action,"United States,Bulgaria",English,"August 30, 2013","$18,000,000","Warner Bros.,Dark Castle Entertainment,After Dark Films,Signature Entertainment,Silver Reel Entertainment"
https://www.the-numbers.com/movie/Wara-No-Tate#tab=summary,125 minutes,Thriller/Suspense,Live Action,Japan,Japanese,"April 26, 2013",,
https://www.the-numbers.com/movie/Toshokan-Senso#tab=summary,128 minutes,Action,Live Action,Japan,Japanese,"April 27, 2013",,
https://www.the-numbers.com/movie/Unfinished-Song#tab=summary,93 minutes,Comedy,Live Action,"United States,Germany","English,German","June 21, 2013",,"Coolmore Productions,Aegis Film Fund,Film House Germany,Egoli Tossell Film,Steel Mill Pictures"
https://www.the-numbers.com/movie/Frances-Ha#tab=summary,86 minutes,Comedy,Live Action,United States,English,"May 17, 2013","$3,000,000","Pine District,Scott Rudin Productions"
https://www.the-numbers.com/movie/Aashiqui-2#tab=summary,140 minutes,Musical,Live Action,"India,South Africa",Hindi,"April 26, 2013",,
https://www.the-numbers.com/movie/Himmatwala#tab=summary,150 minutes,Action,Live Action,India,Hindi,"March 29, 2013",,
https://www.the-numbers.com/movie/Week-End-Le#tab=summary,93 minutes,Drama,Live Action,"United Kingdom,France",English,"October 11, 2013",,"Film4,Free Range Film,Le Bureau"
https://www.the-numbers.com/movie/Alceste-a-bicyclette#tab=summary,104 minutes,Comedy,Live Action,France,"French,Italian","January 16, 2013",,"Les Films Des.,Pathe,Appaloosa Development,France 2 Cinema,Soficinema 8 LBP15,Soficinema 9"
https://www.the-numbers.com/movie/Jeonseolui-Joomeok#tab=summary,153 minutes,Action,Live Action,Republic of Korea,Korean,"April 12, 2013",,Cinema Service
https://www.the-numbers.com/movie/All-is-Lost#tab=summary,107 minutes,Thriller/Suspense,Live Action,United States,English,"October 18, 2013","$8,500,000","Lionsgate,Roadside Attractions,Black Bear,TreeHouse Pictures,FilmNation Entertainment,Sudden Storm Entertainment,Before The Door,Washington Square Films"
https://www.the-numbers.com/movie/Satyagraha#tab=summary,146 minutes,Drama,Live Action,India,Hindi,"August 30, 2013",,
https://www.the-numbers.com/movie/Septimo#tab=summary,,Thriller/Suspense,Live Action,Spain,Spanish,"September 05, 2013",,
https://www.the-numbers.com/movie/ABCD-(2012)#tab=summary,143 minutes,Musical,Live Action,India,Hindi,"February 08, 2013","$1,900,000",UTV Motion Pictures
https://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary,165 minutes,Action,Animation/Live Action,United States,English,"June 25, 2014","$210,000,000","di Bonaventura Pictures,Tom DeSanto,Don Murphy"
https://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary,144 minutes,Adventure,Animation/Live Action,"United States,New Zealand",English,"December 10, 2014","$250,000,000","New Line Cinema,Wingnut Films,Metro-Goldwyn-Mayer Pictures"
https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary,121 minutes,Action,Animation/Live Action,United States,English,"July 31, 2014","$170,000,000",Marvel Studios
https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary,123 minutes,Action,Live Action,United States,English,"November 19, 2014","$125,000,000","Lionsgate,Color Force"
https://www.the-numbers.com/movie/Maleficent#tab=summary,97 minutes,Adventure,Live Action,United States,English,"May 28, 2014","$180,000,000",Roth Films
https://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary,131 minutes,Action,Live Action,United States,English,"May 21, 2014","$200,000,000","Bad Hat Harry Productions,Donners’ Company,Simon Kinberg,Ingenious Media,Marvel Studios,20th Century Fox,Genre Films"
https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary,135 minutes,Action,Live Action,United States,"English,German,French","March 28, 2014","$170,000,000",Marvel Studios
https://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,130 minutes,Adventure,Animation/Live Action,United States,English,"July 09, 2014","$170,000,000","Chernin Entertainment,TSG Entertainment,Ingenious Media"
https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary,141 minutes,Action,Live Action,United States,English,"April 16, 2014","$200,000,000",Marvel Studios
https://www.the-numbers.com/movie/Big-Hero-6#tab=summary,108 minutes,Adventure,Digital Animation,United States,English,"October 25, 2014","$165,000,000",Walt Disney Animation Studios
https://www.the-numbers.com/movie/Interstellar-(2014)#tab=summary,165 minutes,Adventure,Live Action,United States,English,"November 05, 2014","$165,000,000","Syncopy,Lynda Obst Productions"
https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary,102 minutes,Adventure,Digital Animation,United States,English,"June 05, 2014","$145,000,000",DreamWorks Animation
https://www.the-numbers.com/movie/American-Sniper#tab=summary,132 minutes,Drama,Live Action,United States,English,"December 25, 2014","$58,000,000","Mad Chance,22nd & Indiana,Malpaso Productions"
https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary,123 minutes,Action,Live Action,United States,English,"May 14, 2014","$160,000,000",Legendary Pictures
https://www.the-numbers.com/movie/Rio-2#tab=summary,101 minutes,Adventure,Digital Animation,United States,English,"March 20, 2014","$130,000,000","20th Century Fox Animation,Blue Sky Studios"
https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,101 minutes,Action,Animation/Live Action,United States,English,"August 08, 2014","$125,000,000","Platinum Dunes,Gama Entertainment,Mednick Productions,Heavy Metal"
https://www.the-numbers.com/movie/LEGO-Movie-The#tab=summary,110 minutes,Adventure,Digital Animation,"Australia,United States",English,"February 06, 2014","$60,000,000","Vertigo Entertainment,Lin Pictures,Warner Animation Group"
https://www.the-numbers.com/movie/Lucy#tab=summary,88 minutes,Action,Live Action,"United States,France","English,Korean,Mandarin","July 25, 2014","$40,000,000","EuropaCorp,TF1 Film Productions,Canal Plus,Cine Plus,TF1 International"
https://www.the-numbers.com/movie/Gone-Girl-(2014)#tab=summary,149 minutes,Thriller/Suspense,Live Action,United States,English,"October 02, 2014","$61,000,000","Regency Enterprises,TSG Entertainment"
https://www.the-numbers.com/movie/Edge-of-Tomorrow#tab=summary,136 minutes,Action,Live Action,United States,English,"May 28, 2014","$178,000,000","Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment"
https://www.the-numbers.com/movie/Penguins-of-Madagascar#tab=summary,92 minutes,Adventure,Digital Animation,United States,English,"November 26, 2014","$132,000,000","DreamWorks Animation,PDI"
https://www.the-numbers.com/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,97 minutes,Adventure,Animation/Live Action,United States,English,"December 18, 2014","$127,000,000","21 Laps Entertainment,1492 Pictures"
https://www.the-numbers.com/movie/Noah#tab=summary,137 minutes,Drama,Live Action,United States,English,"March 27, 2014","$130,000,000","Protozoa Pictures,Paramount Pictures,Regency Enterprises"
https://www.the-numbers.com/movie/Maze-Runner-The#tab=summary,113 minutes,Action,Live Action,United States,English,"September 11, 2014","$34,000,000","Gotham Group,Temple Hill Entertainment,TSG Entertainment,DayDay Films"
https://www.the-numbers.com/movie/22-Jump-Street#tab=summary,111 minutes,Comedy,Live Action,United States,English,"June 05, 2014","$50,000,000","Columbia Pictures,Metro-Goldwyn-Mayer Pictures,LStar Capital,MRC,Original Film,Cannell Studios"
https://www.the-numbers.com/movie/300-Rise-of-an-Empire#tab=summary,102 minutes,Action,Animation/Live Action,United States,English,"March 07, 2014","$110,000,000","Cruel and Unusual Films,Mark Canton,Gianni Nunnari"
https://www.the-numbers.com/movie/Divergent#tab=summary,140 minutes,Adventure,Live Action,United States,English,"March 21, 2014","$85,000,000",Red Wagon Entertainment
https://www.the-numbers.com/movie/Neighbors-(2013)#tab=summary,91 minutes,Comedy,Live Action,United States,English,"May 09, 2014","$18,000,000","Good Universe,Point Grey"
https://www.the-numbers.com/movie/Mr-Peabody-and-Sherman#tab=summary,91 minutes,Adventure,Digital Animation,United States,English,"February 20, 2014","$145,000,000","Bullwinkle Studios,DreamWorks Animation,PDI"
https://www.the-numbers.com/movie/Exodus-Gods-and-Kings#tab=summary,150 minutes,Drama,Live Action,United States,English,"December 05, 2014","$140,000,000","Chernin Entertainment,Scott Free Films"
https://www.the-numbers.com/movie/Paddington#tab=summary,95 minutes,Adventure,Animation/Live Action,"United Kingdom,France,United States",English,"November 28, 2014","$55,000,000","StudioCanal,Weinstein Company,Anton Capital Entertainment"
