link,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget
https://www.the-numbers.com/movie/Singham-Returns-(2014-India)#tab=summary,Not Rated,145 minutes,Singham,Action,Live Action,Contemporary Fiction,"Ajay Devgn Films,Rohit Shetty Productions",India,Hindi,"August 15, 2014",
https://www.the-numbers.com/movie/Draft-Day#tab=summary,"PG-13on appeal for brief strong language and sexual references.(Rating bulletin 2305, 1/15/2015)",109 minutes,,Drama,Live Action,Contemporary Fiction,"Summit Entertainment,OddLot Entertainment,Montecito Picture Company",United States,English,"April 11, 2014","$25,000,000"
https://www.the-numbers.com/movie/Winters-Tale#tab=summary,"PG-13for violence and some sensuality.(Rating bulletin 2299, 11/20/2013)",118 minutes,,Drama,Live Action,Fantasy,"Weed Road Pictures,Marc Platt Productions",United States,English,"February 14, 2014","$60,000,000"
https://www.the-numbers.com/movie/Yeok-rin-(South-Korea)-(2014)#tab=summary,Not Rated,135 minutes,,Drama,Live Action,Historical Fiction,Choice Cut Pictures,Republic of Korea,Korean,"May 23, 2014",
https://www.the-numbers.com/movie/Sai-yau-gei-Sin-leui-kei-yun-(Hong-Kong)#tab=summary,,95 minutes,A Chinese Odyssey,Adventure,Live Action,Fantasy,,Hong Kong,Cantonese,"October 24, 2014",
https://www.the-numbers.com/movie/Sin-ui-Hansu#tab=summary,,128 minutes,,Action,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"July 02, 2014",
https://www.the-numbers.com/movie/Big-Eyes#tab=summary,"PG-13for thematic elements and brief strong language.(Rating bulletin 2326, 6/10/2014)",106 minutes,,Drama,Live Action,Dramatization,"Tim Burton,Electric City Entertainment",United States,"English,French,Italian","December 25, 2014","$10,000,000"
https://www.the-numbers.com/movie/Relatos-salvajes#tab=summary,"Rfor violence, language and brief sexuality.(Rating bulletin 2338, 9/3/2014)",115 minutes,,Black Comedy,Live Action,Contemporary Fiction,"Kramer & Sigman Films,El Deseo,Telefe,Corner Contenidos,Big Bang","Argentina,Spain",Spanish,"October 17, 2014",
https://www.the-numbers.com/movie/Top-Five#tab=summary,"Rfor strong sexual content, nudity, crude humor, language throughout and some drug use.(Rating bulletin 2348, 11/12/2013)",101 minutes,,Comedy,Live Action,Contemporary Fiction,IACF,United States,English,"December 12, 2014","$12,000,000"
https://www.the-numbers.com/movie/Tinker-Bell-and-the-Legend-of-The-Neverbeast#tab=summary,"G(Rating bulletin 2347, 11/4/2014)",79 minutes,Tinker Bell,Adventure,Digital Animation,Kids Fiction,,United States,English,"December 12, 2014",
https://www.the-numbers.com/movie/Mr-Turner#tab=summary,"Rfor some sexual content.(Rating bulletin 2337, 8/27/2014)",149 minutes,,Drama,Live Action,Dramatization,"Xofa Productions,Diaphana,France 3 Cinema,Amusement Park,Canal Plus,Cine Plus",United Kingdom,English,"October 31, 2014","$14,000,000"
