link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Xiong-Chu-Mei-Zhi-Xue-Ling-Xiong-Feng-(China)(2014)#tab=summary,96 minutes,Boonie Bears,Adventure,Digital Animation,Kids Fiction,China,"Mandarin,English","January 30, 2015",,,
https://www.the-numbers.com/movie/Lets-Get-Married-(2015-China)#tab=summary,127 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"April 01, 2015",Not Rated,"Heyi Pictures,Taihe Films Investment Co. Ltd.",
https://www.the-numbers.com/movie/McFarland-USA#tab=summary,128 minutes,,Drama,Live Action,Dramatization,United States,English,"February 20, 2015","PGfor thematic material, some violence and language.(Rating bulletin 2322, 5/14/2014)",Mayhem Pictures,"$17,000,000"
https://www.the-numbers.com/movie/You-yi-ge-di-fang-zhi-you-wo-men-zhi-dao-(China)-(2015)#tab=summary,109 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"February 10, 2015",Not Rated,Kaila Pictures Co. Ltd.,
https://www.the-numbers.com/movie/Hero-(2015-India)#tab=summary,131 minutes,,Drama,Live Action,Contemporary Fiction,India,Hindi,"July 18, 2015",Not Rated,Emmay Entertainment Pvt. Ltd,
https://www.the-numbers.com/movie/Dead-End-The-(2015-China)#tab=summary,139 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,China,Mandarin,"August 22, 2015",Not Rated,,
https://www.the-numbers.com/movie/Woman-in-Black-2-Angel-of-Death-The-(2015)#tab=summary,98 minutes,The Woman in Black,Horror,Live Action,Fantasy,United States,English,"January 02, 2015","PG-13for some disturbing and frightening images, and for thematic elements.(Rating bulletin 2345, 10/22/2014)","Talisman,Hammer Films",
https://www.the-numbers.com/movie/Love-the-Coopers#tab=summary,107 minutes,,Comedy,Live Action,Contemporary Fiction,United States,English,"November 12, 2015","PG-13for thematic elements, language and some sexuality.(Rating bulletin 2392, 9/23/2015)","CBS Films,Imagine Entertainment,Groundswell Productions,Handwritten Films","$18,000,000"
https://www.the-numbers.com/movie/Max-(2015)#tab=summary,111 minutes,Max,Adventure,Live Action,Contemporary Fiction,United States,English,"June 25, 2015","PGfor action violence, peril, brief language and some thematic elements.(Rating bulletin 2351, 12/3/2014)",Sunswept Entertainment,"$20,000,000"
https://www.the-numbers.com/movie/DUFF-The#tab=summary,100 minutes,,Comedy,Live Action,Contemporary Fiction,United States,English,"February 20, 2015","PG-13for crude and sexual material throughout, some language and teen partying.(Rating bulletin 2355, 1/7/2015)","Wonderland Sound and Vision,Vast Entertainment","$8,500,000"
https://www.the-numbers.com/movie/Dilwale-(2015-India)#tab=summary,158 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,India,Hindi,"December 18, 2015",Not Rated,"Red Chillies Entertainment,Rohit Shetty Productions",
