link,Running Time,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Passengers-(2015)#tab=summary,116 minutes,"Space Program,Romance,Disaster,3-D,3-D - Post-production Conversion,Romantic Drama,Set in Outer Space",Original Screenplay,Drama,Live Action,Science Fiction,"Columbia Pictures,LStar Capital,Village Roadshow Productions,Wanda Media,Original Film,Company Films,Start Motion Pictures",United States,English,"December 21, 2016"
https://www.the-numbers.com/movie/Miss-Peregrines-Home-for-Peculiar-Children#tab=summary,126 minutes,"Young Adult Book Adaptation,Boarding School,Orphanage,Mutants,Prophetic Dreams,Good vs. Evil,Monster,Motion Capture Performance,3-D,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"Twentieth Century Fox,Chernin Entertainment,Big Screen Prods,TSG Entertainment",United States,English,"September 21, 2016"
https://www.the-numbers.com/movie/Alice-Through-the-Looking-Glass#tab=summary,113 minutes,"Live Action Remake,Legacy Sequel,Visual Effects,Time Travel,Posthumous Release,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Family Adventure",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Roth Films,Team Todd,Tim Burton",United States,English,"May 20, 2016"
https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary,112 minutes,"Live Action Remake,Mutants,Mad Scientist,Revenge,Alternative Dimensions / Parallel universe,Independent/Other Comics,Ninja,Unbelieving Police,Car Chase,Vigilante,Fired,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero,"Paramount Pictures,Nickelodeon Films",United States,English,"June 02, 2016"
https://www.the-numbers.com/movie/Sully#tab=summary,96 minutes,"In a Plane,Disaster,2000s,Set in New York City,Biography,IMAX: DMR,Biographical Drama",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Warner Bros.,Malpaso Productions,Flashlight Films,Village Roadshow Productions,The Kennedy/Marshall Company",United States,English,"September 08, 2016"
https://www.the-numbers.com/movie/Assassins-Creed#tab=summary,116 minutes,"Time Travel,Corporate Malfeasance,Assassination,Hitmen,Magical Technology,Spanish Inquisition,Voodoo,Computer Simulation,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Game,Action,Live Action,Science Fiction,"Regency Enterprises,Ubisoft Entertainment,New Regency,DMC Film,The Kennedy/Marshall Company",United States,English,"December 21, 2016"
https://www.the-numbers.com/movie/Ghostbusters-(2016)#tab=summary,117 minutes,"Set in New York City,Reboot,Haunting,Paranormal Investigation,Entrepreneur,Genderbending Casting,Inventor,Gratuitous Cameos,Development Hell,Supernatural,College Professor,Fired,Horror Comedy,3-D,3-D - Post-production Conversion,IMAX: DMR",Original Screenplay,Comedy,Animation/Live Action,Science Fiction,"Columbia Pictures,Village Roadshow Productions,Ivan Reitman Production",United States,English,"July 13, 2016"
https://www.the-numbers.com/movie/Hidden-Figures#tab=summary,126 minutes,"1960s,African Americans,Bigotry,Sexism,Women’s Rights,Mathematics,Space Program,2017 Oscars Best Picture Nominee,Civil Rights Movement,Intertitle,Epilogue,Widow/Widower,Archive Footage,Biographical Drama,Biography,Screen Actors Guild Outstanding Performance by a Cast in a Motion Picture Winner",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Fox 2000 Pictures,Chernin Entertainment,Levantine Films",United States,English,"December 25, 2016"
https://www.the-numbers.com/movie/Inferno#tab=summary,121 minutes,"Legacy Sequel,Conspiracy Theory,Faulty Memory,IMAX: DMR,Action Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Image Entertainment,Columbia Pictures,LStar Capital,Brian Grazer Productions",United States,English,"October 05, 2016"
https://www.the-numbers.com/movie/Central-Intelligence#tab=summary,114 minutes,"High School Hell,Bullies,C.I.A.,High School Reunions,Action Comedy,Rogue Agent,Framed",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Universal Pictures,RatPac Entertainment,Dune Entertainment,Perfect World Pictures,Bluegrass Films,Principato-Young Entertainment",United States,English,"June 16, 2016"
