link,Production Budget,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production/Financing Companies
https://www.the-numbers.com/movie/Kono-sekai-no-katasumi-ni-(Japan)#tab=summary,"$3,750,000",130 minutes,Drama,Hand Animation,Japan,Japanese,"November 11, 2016",
https://www.the-numbers.com/movie/Edge-of-Seventeen-The-(2016)#tab=summary,"$9,000,000",99 minutes,Drama,Live Action,United States,English,"November 18, 2016","STX Entertainment,Huayi Brothers Corp.,Gracie Films"
https://www.the-numbers.com/movie/Desu-noto-Light-Up-the-New-World-(Japan)#tab=summary,,135 minutes,Thriller/Suspense,Live Action,Japan,Japanese,"October 28, 2016",
https://www.the-numbers.com/movie/Asura-The-City-of-Madness-(S-Korea)#tab=summary,,136 minutes,Action,Live Action,Republic of Korea,Korean,"September 26, 2016","Sanai Pictures,CJ Entertainment"
https://www.the-numbers.com/movie/Luomandike-xiaowang-shi-(China)#tab=summary,,123 minutes,Thriller/Suspense,Live Action,"China,Hong Kong","Mandarin,Shanghainese,Japanese","December 16, 2016","China Film Company,Cutting Edge,Huayi Brothers Pictures Ltd,Emperor Film Production,Huayi Brothers International"
https://www.the-numbers.com/movie/Unforgettable-(2016)#tab=summary,"$12,000,000",114 minutes,Thriller/Suspense,Live Action,United States,English,"February 26, 2016","Warner Bros.,RatPac Entertainment,Dune Entertainment,Di Novi Pictures"
https://www.the-numbers.com/movie/Rokuyon-Zenpen-(Japan)-(2016)#tab=summary,,121 minutes,,Live Action,Japan,Japanese,"May 06, 2016",
https://www.the-numbers.com/movie/Kapoor-and-Sons#tab=summary,,150 minutes,Comedy,Live Action,India,Hindi,"March 17, 2016","Dharma Productions,Fox Star Studios"
https://www.the-numbers.com/movie/Hardcore-Henry#tab=summary,"$2,000,000",95 minutes,Action,Live Action,"Russian Federation,United States",English,"April 07, 2016","Timur Bekmambetov,Bazelevs Company,Versus Productions"
https://www.the-numbers.com/movie/Retour-chez-ma-mere-(france)#tab=summary,,97 minutes,Comedy,Live Action,France,French,"June 10, 2016",
https://www.the-numbers.com/movie/Street-Cat-Named-Bob-A#tab=summary,"$8,000,000",103 minutes,Drama,Live Action,United Kingdom,English,"November 04, 2016","Stage 6 Films,Prescience,Shooting Script Films,Altus Media,The Exchange"
https://www.the-numbers.com/movie/Birth-of-a-Nation-The-(2016)#tab=summary,"$10,000,000",118 minutes,Drama,Live Action,United States,English,"October 07, 2016","Bron Studios,Phantom Four,Mandalay Pictures,Tiny Giant Productions,Follow Through Productions,Creative Wealth Media Finance,Fox Searchlight Pictures,Novofam Productions,Infinity Entertainment,Oster Media,Point Made Films,Juniper Productions,Argent Pictures,Hit 55 Ventures,TSG Entertainment"
https://www.the-numbers.com/movie/Heartfall-Arises-(Hong-Kong)#tab=summary,,106 minutes,Drama,Live Action,"Hong Kong,China",Mandarin,"October 20, 2016",
https://www.the-numbers.com/movie/Pride-and-Prejudice-and-Zombies#tab=summary,"$28,000,000",107 minutes,Comedy,Live Action,United States,English,"February 04, 2016","Cross Creek Pictures,Lionsgate,Sierra Pictures,QC Entertainment,Allison Shearmur,Handsomecharlie Films,MadRiver Pictures,Head Gear Films"
https://www.the-numbers.com/movie/Geilste-Tag-Der#tab=summary,,113 minutes,Adventure,Live Action,"Germany,South Africa",German,"February 25, 2016",
https://www.the-numbers.com/movie/Elle-(France)-(2016)#tab=summary,"$9,100,000",130 minutes,Drama,Live Action,"France,Germany,Belgium",French,"May 27, 2016","SBS Productions,Twenty Twenty Vision,France 2 Cinema,Entre Chien et Loup,Proximus"
https://www.the-numbers.com/movie/I-Daniel-Blake-(UK)#tab=summary,,100 minutes,Drama,Live Action,"United Kingdom,France,Belgium",English,"October 20, 2016","Sundance Selects,Sixteen Films,Why Not Productions,Wild Bunch,BFI,BBC Films,Les Films du Fleuve,France 2 Cinema,Canal Plus,France Television,Le Pacte,Cineart,Cine Plus,VOO ET BETV"
https://www.the-numbers.com/movie/Kaizoku-to-yobareta-otoko-(Japan)#tab=summary,,145 minutes,Drama,Live Action,Japan,,"December 09, 2016",
https://www.the-numbers.com/movie/Kazoku-Wa-Tsuraiyo-(Japan)#tab=summary,,108 minutes,Comedy,Live Action,Japan,Japanese,"March 11, 2016",
https://www.the-numbers.com/movie/Gut-ba-i-Sing-geul-(Korea)#tab=summary,,120 minutes,Comedy,Live Action,Republic of Korea,Korean,"June 16, 2016",
https://www.the-numbers.com/movie/Rokuyon-Kohen-(Japan)-(2016)#tab=summary,,119 minutes,,,Japan,Japanese,"June 10, 2016",
https://www.the-numbers.com/movie/Kang-rinpoche-(China)#tab=summary,,115 minutes,Documentary,Live Action,China,Tibetan,"May 13, 2016","Helichenguang Intl.,LETV Pictures Co Ltd,Le Shi Internat Information and Technology Corp,Beijing Kunrungaohong Investment Co Ltd"
https://www.the-numbers.com/movie/Three-(2016-China)#tab=summary,,87 minutes,Action,Live Action,"Hong Kong,China","Cantonese,English","June 20, 2016","Media Asia Films,IQIYI Motion Pictures,Beijing Hairun Pictures LTD,Impact Partners,Beijing Baidu Netcom Science Technology Co.,Shanghai Gewa Business Information Consulting Co.,Shenzhen Film Studio,Wuxi Soulpower Culture Media Company,China Film Media Asia Audio Visual Distribution Company,Milkyway Image,China Film Company"
https://www.the-numbers.com/movie/Pitbull-Niebezpieczne-Kobiety-(Poland)#tab=summary,,,Action,Live Action,Poland,Polish,"November 11, 2016",
https://www.the-numbers.com/movie/Medecin-de-Campagne-(France)#tab=summary,,102 minutes,Drama,Live Action,France,French,"March 23, 2016",
https://www.the-numbers.com/movie/San-shao-ye-de-jian-(China)#tab=summary,,105 minutes,Action,Live Action,China,Mandarin,"December 02, 2016","Bona Fide,Film Unlimited"
https://www.the-numbers.com/movie/High-and-Low-The-Movie-(Japan)-(2016)#tab=summary,,129 minutes,Action,Live Action,Japan,Japanese,"July 15, 2016",
https://www.the-numbers.com/movie/Pattaya#tab=summary,,100 minutes,Comedy,Live Action,"France,Thailand",French,"February 24, 2016",
https://www.the-numbers.com/movie/Bibi-and-Tina-Madchen-gegen-Jungs#tab=summary,,110 minutes,Adventure,Live Action,Germany,German,"January 21, 2016",
https://www.the-numbers.com/movie/Brice-3-(France)#tab=summary,,93 minutes,Comedy,Live Action,France,French,"October 21, 2016",
