link,Production Budget,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Black-Panther-(2018)#tab=summary,"$200,000,000","PG-13for prolonged sequences of action violence, and a brief rude gesture.(Rating bulletin 2511 (Cert #51390), 1/24/2018)",120 minutes,Marvel Cinematic UniverseBlack Panther,Action,Live Action,Super Hero,Marvel Studios,United States,English,"February 13, 2018"
https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,"$170,000,000","PG-13for intense sequences of science-fiction violence and peril.(Rating bulletin 2522 (Cert #51537), 4/11/2018)",128 minutes,Jurassic Park,Action,Live Action,Science Fiction,"Universal Pictures,Amblin Entertainment,The Kennedy/Marshall Company,Legendary Pictures,Perfect World Pictures",United States,English,"June 06, 2018"
https://www.the-numbers.com/movie/Incredibles-2#tab=summary,"$200,000,000","PGfor action sequences and some brief mild language.(Rating bulletin 2526 (Cert #51520), 5/9/2018)",118 minutes,The Incredibles,Adventure,Digital Animation,Super Hero,Disney-Pixar,United States,English,"June 15, 2018"
https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary,"$160,000,000","PG-13for sequences of sci-fi violence and action, and for some language.(Rating bulletin 2543 (Cert #51796), 9/5/2018)",143 minutes,DC Extended UniverseAquaman,Action,Animation/Live Action,Super Hero,"Warner Bros.,DC Films,RatPac Entertainment,The Safran Company,Cruel and Unusual Films,Mad Ghost Productions",United States,English,"December 06, 2018"
https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=summary,"$55,000,000","PG-13for thematic elements, suggestive material, drug content and language.(Rating bulletin 2543 (Cert #51495), 9/5/2018)",134 minutes,,Drama,Live Action,Dramatization,"20th Century Fox,GK Films,Regency Enterprises,Queen Films,Tribeca Film","United States,United Kingdom",English,"October 24, 2018"
https://www.the-numbers.com/movie/Venom-(2018)#tab=summary,"$116,000,000","PG-13for intense sequences of sci-fi violence and action, and for language.(Rating bulletin 2545 (Cert #51435), 9/19/2018)",112 minutes,Sony’s Marvel UniverseVenom,Action,Animation/Live Action,Super Hero,"Columbia Pictures,Marvel Studios,Arad Productions,Matt Tolmach Productions,Pascal Pictures,Tencent Pictures",United States,English,"October 02, 2018"
https://www.the-numbers.com/movie/Deadpool-2#tab=summary,"$110,000,000","Rfor strong violence and language throughout, sexual references and brief drug material.(Rating bulletin 2526 (Cert #51353), 5/9/2018)PG-13for intense sequences of violence and action, crude sexual content, language, thematic elements and brief drug material.
EDITED VERSION. CONTENT IS DIFFERENT FROM ""R"" RATED VERSION, BULLETIN NO. 2526 (5/9/2018)(Rating bulletin 2552 (Cert #51850), 11/7/2018)",119 minutes,DeadpoolX-Men,Action,Animation/Live Action,Super Hero,"Marvel Studios,Donners’ Company,Twentieth Century Fox,Kinberg Genre,Maximum Effect",United States,English,"May 11, 2018"
https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary,"$178,000,000","PG-13for violence and intense sequences of action, and for brief strong language.(Rating bulletin 2537 (Cert #51552), 7/25/2018)",147 minutes,Mission: Impossible,Action,Live Action,Contemporary Fiction,"Skydance Productions,Bad Robot,Paramount Pictures",United States,English,"July 16, 2018"
https://www.the-numbers.com/movie/Fantastic-Beasts-The-Crimes-of-Grindelwald-(2018)#tab=summary,"$200,000,000","PG-13for some sequences of fantasy action.(Rating bulletin 2543 (Cert #51794), 9/5/2018)",134 minutes,Harry PotterFantastic Beasts and Where to Find Them,Adventure,Animation/Live Action,Fantasy,"Heyday Films,Warner Bros.","United Kingdom,United States",English,"November 14, 2018"
https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary,"$130,000,000","PG-13for some sci-fi action violence.(Rating bulletin 2532 (Cert #51623), 6/19/2018)",118 minutes,Ant-ManMarvel Cinematic Universe,Action,Animation/Live Action,Super Hero,Marvel Studios,United States,English,"July 03, 2018"
https://www.the-numbers.com/movie/Ready-Player-One#tab=summary,"$150,000,000","PG-13for sequences of sci-fi action violence, bloody images, some suggestive material, nudity and language.(Rating bulletin 2514 (Cert #51421), 2/14/2018)",140 minutes,,Adventure,Animation/Live Action,Science Fiction,"Warner Bros.,Village Roadshow Productions,Amblin Entertainment,De Line Pictures,Access Entertainment,Dune Entertainment",United States,English,"March 20, 2018"
https://www.the-numbers.com/movie/Detective-Chinatown-2-(2018-China)#tab=summary,,"Rfor brief language.(Rating bulletin 2513 (Cert #51448), 2/7/2018)",121 minutes,Detective Chinatown,Action,Live Action,Contemporary Fiction,,China,Mandarin,"February 16, 2018"
https://www.the-numbers.com/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary,"$175,000,000","PGfor some action and rude humor.(Rating bulletin 2546 (Cert #51803), 9/26/2018)",112 minutes,Wreck-It Ralph,Adventure,Digital Animation,Kids Fiction,"Walt Disney Pictures,Walt Disney Animation Studios",United States,English,"November 21, 2018"
https://www.the-numbers.com/movie/Meg-The#tab=summary,"$178,000,000","PG-13for action/peril, bloody images and some language.(Rating bulletin 2500 (Cert #51305), 11/1/2017)",113 minutes,The Meg,Action,Live Action,Science Fiction,"Warner Bros.,Gravity Pictures,Flagship Entertainment,Apelles Entertainment,di Bonaventura Pictures,Maeday Productions,On a Roll Productions",United States,English,"August 09, 2018"
https://www.the-numbers.com/movie/Hotel-Transylvania-3-Summer-Vacation#tab=summary,"$65,000,000","PGfor some action and rude humor(Rating bulletin 2526 (Cert #50948), 5/9/2018)",97 minutes,Hotel Transylvania,Adventure,Digital Animation,Kids Fiction,"Sony Pictures Animation,Columbia Pictures",United States,English,"June 22, 2018"
https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary,"$75,000,000","PGfor brief rude humor.(Rating bulletin 2537 (Cert #51723), 7/25/2018)",86 minutes,,Adventure,Digital Animation,Kids Fiction,"Universal Pictures,Illumination Entertainment,Chris Meledandri",United States,English,"November 07, 2018"
https://www.the-numbers.com/movie/Operation-Red-Sea-(2018-China)#tab=summary,,Not Rated,141 minutes,,Action,Live Action,Contemporary Fiction,,China,Mandarin,"February 16, 2018"
https://www.the-numbers.com/movie/Bumblebee#tab=summary,"$102,000,000","PG-13for sequences of sci-fi action violence.(Rating bulletin 2553 (Cert #51551), 11/14/2018)",114 minutes,Transformers,Adventure,Animation/Live Action,Science Fiction,"di Bonaventura Pictures,Paramount Pictures,Bay Films,Hasbro Studios",United States,English,"December 13, 2018"
https://www.the-numbers.com/movie/Wo-Bi-Shi-Yao-Shen-(China)-(2018)#tab=summary,,Not Rated,96 minutes,,Drama,Live Action,Contemporary Fiction,"Dirty Monkey Films Group,Huanxi Media Group Limited,Beijing Universe Starlight Culture Media Company,Beijing Talent International Film Co",China,Mandarin,"June 30, 2018"
https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=summary,"$36,000,000","Rfor language throughout, some sexuality/nudity and substance abuse.(Rating bulletin 2501 (Cert #51308), 11/8/2017)",140 minutes,,Drama,Live Action,Contemporary Fiction,"Joint Effort,Warner Bros.,Live Nation Productions,Metro-Goldwyn-Mayer Pictures,Jon Peters,Bill Gerber",United States,English,"October 05, 2018"
https://www.the-numbers.com/movie/Rampage-(2018)#tab=summary,"$120,000,000","PG-13for sequences of violence, action and destruction, brief language, and crude gestures.(Rating bulletin 2517 (Cert #51451), 3/7/2018)",107 minutes,,Action,Live Action,Science Fiction,"New Line Cinema,Seven Bucks Productions,Flynn Picture Company,ASAP Films,Wrigley Pictures",United States,English,"April 09, 2018"
https://www.the-numbers.com/movie/Mamma-Mia-Here-We-Go-Again#tab=summary,"$75,000,000","PG-13for some suggestive material(Rating bulletin 2518 (Cert #51518), 3/14/2018)",114 minutes,Mamma Mia,Musical,Live Action,Contemporary Fiction,"Playtone,Universal Pictures,Littlestar,Legendary Pictures,Perfect World Pictures","United States,United Kingdom,Sweden",English,"July 18, 2018"
https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary,"$330,400,000","PG-13for sequences of sci-fi action/violence.(Rating bulletin 2525 (Cert #51539), 5/2/2018)",135 minutes,Star Wars,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,United States,English,"May 23, 2018"
https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D-(2018)#tab=summary,"$90,000,000","PGfor frenetic sequences of animated action violence, thematic elements,
and mild language.(Rating bulletin 2554 (Cert #51438), 11/21/2018)",117 minutes,Spider-ManSony’s Marvel Universe,Adventure,Digital Animation,Super Hero,"Columbia Pictures,Marvel Studios,Avi Arad,Lord Miller,Pascal Pictures,Sony Pictures Animation",United States,English,"December 07, 2018"
https://www.the-numbers.com/movie/Fifty-Shades-Freed#tab=summary,"$55,000,000","Rfor strong sexual content, nudity, and language.(Rating bulletin 2494 (Cert #51238), 9/20/2017)",120 minutes,Fifty Shades of Grey,Drama,Live Action,Contemporary Fiction,"Michael De Luca Productions,Universal Pictures,Perfect World Pictures",United States,English,"February 07, 2018"
https://www.the-numbers.com/movie/Nun-The#tab=summary,"$22,000,000","Rfor terror, violence, and disturbing/bloody images.(Rating bulletin 2537 (Cert #51710), 7/25/2018)",96 minutes,The ConjuringThe Nun,Horror,Live Action,Contemporary Fiction,"New Line Cinema,The Safran Company,Atomic Monster",United States,English,"July 27, 2018"
https://www.the-numbers.com/movie/Nun-The#tab=summary,"$22,000,000","Rfor terror, violence, and disturbing/bloody images.(Rating bulletin 2537 (Cert #51710), 7/25/2018)",96 minutes,The ConjuringThe Nun,Horror,Live Action,Contemporary Fiction,"New Line Cinema,The Safran Company,Atomic Monster",United States,English,"July 27, 2018"
https://www.the-numbers.com/movie/Zhuo-yao-ji-2-(China)-(2018)#tab=summary,,Not Rated,146 minutes,Zhuo yao ji (Monster Hunt),Adventure,Animation/Live Action,Science Fiction,,China,Mandarin,"February 16, 2018"
https://www.the-numbers.com/movie/Peter-Rabbit-(2018)#tab=summary,"$50,000,000","PGfor mild thematic elements.(Rating bulletin 2507 (Cert #50848), 12/20/2017)",95 minutes,Peter Rabbit,Adventure,Animation/Live Action,Kids Fiction,"Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Animation,Animal Logic,2.0 Entertainment","United States,Australia",English,"February 08, 2018"
https://www.the-numbers.com/movie/Mary-Poppins-Returns-(2018)#tab=summary,"$130,000,000","PGfor some mild thematic elements and brief action.(Rating bulletin 2538 (Cert #51649), 8/1/2018)",130 minutes,Mary Poppins,Musical,Animation/Live Action,Kids Fiction,"Walt Disney Pictures,Lucamar,Marc Platt Productions",United States,English,"December 19, 2018"
https://www.the-numbers.com/movie/Quiet-Place-A-(2018)#tab=summary,"$17,000,000","PG-13for terror and some bloody images.(Rating bulletin 2519 (Cert #51449), 3/21/2018)",95 minutes,A Quiet Place,Horror,Live Action,Science Fiction,"Paramount Pictures,Platinum Dunes,Sunday Night",United States,"English,Sign Language","April 04, 2018"
https://www.the-numbers.com/movie/Xi-Hong-Shi-Shou-Fu-(China)-(2018)#tab=summary,,,90 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"July 27, 2018"
https://www.the-numbers.com/movie/Green-Book-(2018)#tab=summary,"$23,000,000","PG-13for thematic content, language including racial epithets, smoking, some violence and suggestive material.(Rating bulletin 2528 (Cert #51410), 5/23/2018)",130 minutes,,Comedy,Live Action,Dramatization,"Participant Media,DreamWorks Pictures,Charles B. Wessler Entertainment,Innisfree Pictures,Cinetic",United States,English,"November 16, 2018"
https://www.the-numbers.com/movie/Skyscraper#tab=summary,"$125,000,000","PGfor sequences of gun violence and action, and for brief strong language.(Rating bulletin 2526 (Cert #51591), 5/9/2018)",103 minutes,,Action,Live Action,Contemporary Fiction,"Legendary Pictures,Seven Bucks Productions,Flynn Picture Company,Universal Pictures",United States,English,"July 05, 2018"
https://www.the-numbers.com/movie/Oceans-8-(2018)#tab=summary,"$70,000,000","PG-13for language, drug use, and some suggestive content.(Rating bulletin 2524 (Cert #51567), 4/25/2018)",110 minutes,Ocean's Eleven,Comedy,Live Action,Contemporary Fiction,"Warner Bros.,Village Roadshow Productions,Rahway Road",United States,English,"June 08, 2018"
https://www.the-numbers.com/movie/Pacific-Rim-Uprising#tab=summary,"$155,000,000","PG-13for sequences of sci-fi violence and action, and some language.(Rating bulletin 2502 (Cert #51327), 11/15/2017)",111 minutes,Pacific Rim,Action,Live Action,Science Fiction,"Legendary Pictures,UpperRoom Entertainment Limited,Double Dare You,Universal Pictures",United States,English,"March 16, 2018"
https://www.the-numbers.com/movie/Tomb-Raider-(2018)#tab=summary,"$90,000,000","PG-13for sequences of violence and action, and for some language.(Rating bulletin 2512 (Cert #51443), 1/31/2018)",118 minutes,Lara Croft,Action,Live Action,Contemporary Fiction,"Metro-Goldwyn-Mayer Pictures,Warner Bros.,GK Films,Square Enix Business",United States,English,"March 06, 2018"
https://www.the-numbers.com/movie/Maze-Runner-The-Death-Cure#tab=summary,"$61,000,000","PG-13for intense sequences of sci-fi violence and action, language, and some thematic elements.",114 minutes,The Maze Runner,Action,Live Action,Science Fiction,"Gotham Group,Temple Hill Entertainment,TSG Entertainment",United States,English,"January 17, 2018"
https://www.the-numbers.com/movie/Halloween-(2018)#tab=summary,"$10,000,000","Rfor horror violence and bloody images, language, brief drug use and nudity.(Rating bulletin 2538 (Cert #51734), 8/1/2018)",105 minutes,Halloween,Horror,Live Action,Contemporary Fiction,"Blumhouse,Miramax Films,Rough House Pictures,Universal Pictures,Malek Akkad",United States,English,"October 17, 2018"
https://www.the-numbers.com/movie/Crazy-Rich-Asians-(2018)#tab=summary,"$30,000,000","PG-13for some suggestive content and language.(Rating bulletin 2502 (Cert #51326), 11/15/2017)",120 minutes,Crazy Rich Asians,Romantic Comedy,Live Action,Contemporary Fiction,"Color Force,Ivanhoe Pictures,Warner Bros.,SK Global,Beijing Universe Starlight Culture Media Company,Electric Somewhere",United States,English,"August 15, 2018"
https://www.the-numbers.com/movie/Smallfoot-(2018)#tab=summary,"$80,000,000","PGfor some action, rude humor, and thematic elements.(Rating bulletin 2537 (Cert #51715), 7/25/2018)",96 minutes,,Adventure,Digital Animation,Kids Fiction,"Zaftig Films,RatPac Entertainment,Warner Bros.,Warner Animation Group",United States,English,"September 21, 2018"
https://www.the-numbers.com/movie/Creed-II-(2018)#tab=summary,"$50,000,000","PG-13for sports action violence, language, and a scene of sensuality.(Rating bulletin 2548 (Cert #51855), 10/10/2018)",128 minutes,RockyCreed,Drama,Live Action,Contemporary Fiction,"Metro-Goldwyn-Mayer Pictures,Warner Bros.,New Line Cinema,Chartoff Winkler Productions",United States,English,"November 21, 2018"
https://www.the-numbers.com/movie/Hou-Lai-De-Wo-Men-(China)#tab=summary,,,90 minutes,,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"April 27, 2018"
https://www.the-numbers.com/movie/Yi-Chu-Hao-Xi-(China)-(2018)#tab=summary,,Not Rated,134 minutes,,Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"August 10, 2018"
