link,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,MPAA Rating,Production Budget,Franchise
https://www.the-numbers.com/movie/Guernsey-Literary-and-Potato-Peel-Pie-Society-The#tab=summary,124 minutes,Drama,Live Action,Historical Fiction,"StudioCanal,Blueprint Films,Mazur/Kaplan Company,Cine +,Canal Plus","United States,United Kingdom",English,"April 13, 2018",,,
https://www.the-numbers.com/movie/Da-Shi-Xiong-(Hong-Kong)#tab=summary,101 minutes,Multiple Genres,Live Action,Contemporary Fiction,,Hong Kong,"Cantonese,English","August 24, 2018",Not Rated,,
https://www.the-numbers.com/movie/If-Beale-Street-Could-Talk-(2018)#tab=summary,119 minutes,Drama,Live Action,Historical Fiction,"Pastel,Plan B Entertainment,Annapurna Pictures",United States,English,"December 14, 2018","Rfor language and some sexual content.(Rating bulletin 2540 (Cert #51724), 8/15/2018)","$12,000,000",
https://www.the-numbers.com/movie/Minha-Vida-em-Marte-(Brazil)-(2018)#tab=summary,110 minutes,Comedy,Live Action,Contemporary Fiction,,Brazil,Portuguese,"December 28, 2018",,,
https://www.the-numbers.com/movie/Alad2-(France)(2018)#tab=summary,98 minutes,Comedy,Live Action,Fantasy,,France,French,"October 05, 2018",,,
https://www.the-numbers.com/movie/On-Your-Wedding-Day-(2018-South-Korea)#tab=summary,110 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"August 22, 2018",,,
https://www.the-numbers.com/movie/SuperFly-(Remake)#tab=summary,116 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Columbia Pictures,Silver Pictures",United States,English,"June 13, 2018","Rfor violence and language throughout, strong sexuality, nudity, and drug content(Rating bulletin 2530 (Cert #51442), 6/6/2018)","$16,000,000",
https://www.the-numbers.com/movie/Raid-(India)#tab=summary,120 minutes,Drama,Live Action,Contemporary Fiction,,India,Hindi,"March 16, 2018",Not Rated,,Raid
https://www.the-numbers.com/movie/Gonjiam-Haunted-Asylum-(South-Korea)#tab=summary,93 minutes,Horror,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"March 14, 2018",Not Rated,,
https://www.the-numbers.com/movie/Ye-Wen-hui-chuan-Zhang-Tianzhi-(Hong-Kong)-(2018)#tab=summary,108 minutes,Action,Live Action,,"Mandarin Motion Pictures Limited,Shanghai Pegasus,United Motion Pictures Culture Co Limited,Shanghai Mingzhao Motion Pictures Culture Co Limited","Hong Kong,China","Cantonese,Mandarin,English","December 21, 2018",Not Rated,,Ip Man
