link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Chong-Ai-(China)#tab=summary,Not Rated,107 minutes,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"December 23, 2019",,,
https://www.the-numbers.com/movie/Shi-Tu-Xing-Zhe-2-Die-Ying-Xing-Dong-(China)#tab=summary,Not Rated,98 minutes,Action,Live Action,Contemporary Fiction,China,Cantonese,"August 07, 2019",,,
https://www.the-numbers.com/movie/Hustle-The-(2019)#tab=summary,"PG-13on appeal for crude sexual content and language.(Rating bulletin 2542 (Cert #51692), 8/29/2018)",94 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"May 08, 2019","$21,000,000","Pin High,Cave 76,Metro-Goldwyn-Mayer Pictures,Camp Sugar",
https://www.the-numbers.com/movie/Xin-xiju-zhi-wang-(China)(2019)#tab=summary,,91 minutes,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"February 05, 2019",,,
https://www.the-numbers.com/movie/Five-Feet-Apart-(2019)#tab=summary,"PG-13for thematic elements, language and suggestive material.(Rating bulletin 2559 (Cert #51947), 1/2/2019)",116 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"March 13, 2019","$7,000,000","CBS Films,Welle Entertainment,Wayfare Entertainment",
https://www.the-numbers.com/movie/Crawl-(2019)#tab=summary,"Rfor bloody creature violence, and brief language.(Rating bulletin 2579 (Cert #51915), 5/22/2019)",87 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"July 11, 2019","$17,000,000","Paramount Pictures,Raimi Productions,Fire Axe Pictures",
https://www.the-numbers.com/movie/Rambo-Last-Blood-(2019)#tab=summary,"Rfor strong graphic violence, grisly images, drug use and language.(Rating bulletin 2593 (Cert #52357), 8/28/2019)",100 minutes,Action,Live Action,Contemporary Fiction,"United States,Hong Kong",English,"September 19, 2019","$50,000,000","Lionsgate,Millennium Films,Campbell Grobman Films,Millennium Media,Balboa Productions,Templeton Media,Dadi Film Production",Rambo
https://www.the-numbers.com/movie/Jojo-Rabbit-(Germany)-(2019)#tab=summary,"PG-13for mature thematic content, some disturbing images, violence, and language.(Rating bulletin 2576 (Cert #52154), 5/1/2019)",108 minutes,Black Comedy,Live Action,Historical Fiction,"Germany,United States",English,"October 18, 2019","$14,000,000","Fox Searchlight Pictures,TSG Entertainment,Defender Films,Piki Films",
https://www.the-numbers.com/movie/Qu-est-ce-qu-on-a-encore-fait-au-bon-dieu-(France)-(2019)#tab=summary,,99 minutes,Comedy,Live Action,Contemporary Fiction,France,"French,Portuguese,Hebrew","January 30, 2019",,,Serial (Bad) Weddings
https://www.the-numbers.com/movie/One-Piece-Stampede-(2019-Japan)#tab=summary,Not Rated,101 minutes,Adventure,Digital Animation,Fantasy,Japan,Japanese,"August 09, 2019",,Toei Animation,
https://www.the-numbers.com/movie/Dogs-Way-Home-A-(2019)#tab=summary,"PGfor thematic elements, some peril and language.(Rating bulletin 2554 (Cert #51441), 11/21/2018)",102 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"January 09, 2019","$61,000,000","Columbia Pictures,Bona Film Group,Pariah Productions",
https://www.the-numbers.com/movie/Dogs-Journey-A-(2019)#tab=summary,"PGfor thematic content, some peril and rude humor.(Rating bulletin 2572 (Cert #52139), 4/3/2019)",108 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"May 03, 2019","$16,000,000","Amblin Entertainment,Walden Media,Alibaba Pictures,Reliance Entertainment,Pariah Productions",A Dog’s Purpose
https://www.the-numbers.com/movie/Cats-(2019)#tab=summary,"PGfor some rude and suggestive humor.
NOTE: EDITED FOR RE-RATE. CONTENT IS DIFFERENT FROM ""PG"" RATED VERSION, BULLETIN NO. 2607 (12/04/2019). ONLY THIS EDITED VERSION IS RATED. NO CHANGE IN RATING OR RATING DESCRIPTOR.(Rating bulletin 2610 (Cert #52490), 12/25/2019)",110 minutes,Musical,Animation/Live Action,Fantasy,"United States,United Kingdom",English,"December 17, 2019","$100,000,000","Working Title Films,Monumental Pictures,The Really Useful Group,Universal Pictures,Amblin Entertainment,Perfect World Pictures",
https://www.the-numbers.com/movie/Tyler-Perrys-A-Madea-Family-Funeral-(2019)#tab=summary,"PG-13for crude sexual content, language, and drug references throughout.(Rating bulletin 2531 (Cert #51634), 6/13/2018)",102 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"February 27, 2019","$20,000,000","Tyler Perry Studios,Lionsgate",Madea Cinematic Universe
https://www.the-numbers.com/movie/Charlies-Angels-(2019)#tab=summary,"PG-13for action/violence, language and some suggestive material.(Rating bulletin 2596 (Cert #51938), 9/18/2019)",119 minutes,Action,Live Action,Contemporary Fiction,United States,English,"November 13, 2019","$48,000,000","2.0 Entertainment,Brownstone,Cantillon Company,Columbia Pictures,Perfect World Pictures",Charlie's Angels
https://www.the-numbers.com/movie/Doctor-Sleep-(2019)#tab=summary,"Rfor disturbing and violent content, some bloody images, language, nudity and drug use.(Rating bulletin 2592 (Cert #52286), 8/21/2019)Rfor disturbing and violent content, some bloody images, language, nudity and drug use.
Rating is for Director's Cut from Warner Home Entertainment
NOTE: EDITED VERSION. CONTENT IS DIFFERENT FROM ""R"" RATED VERSION, BULLETIN NO. 2592 (08/21/2019).(Rating bulletin 2610 (Cert #52527), 12/25/2019)",151 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"October 31, 2019","$45,000,000","Intrepid Pictures,Vertigo Entertainment,Warner Bros.",The Shining
