link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/White-Crow-The-(UK)-(2019)#tab=summary,"Rfor some sexuality, graphic nudity, and language.(Rating bulletin 2563 (Cert #51753), 1/30/2019)",127 minutes,Drama,Live Action,Dramatization,"BBC Films,Magnolia Mae Films,Lonely Dragon,HanWay Films,MetalWork Pictures,The Fyzz Facility","United Kingdom,France","English,Russian,French","March 22, 2019",,
https://www.the-numbers.com/movie/Saja-(South-Korea)#tab=summary,Not Rated,129 minutes,Action,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"July 31, 2019",,
https://www.the-numbers.com/movie/Jexi#tab=summary,"Rfor strong/crude sexual content and language throughout, some drug use and graphic nudity.(Rating bulletin 2597 (Cert #52249), 9/25/2019)",84 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"CBS Films,Entertainment One,Suzanne Todd",United States,English,"October 11, 2019","$5,000,000",
https://www.the-numbers.com/movie/Polityka-(Poland)#tab=summary,,134 minutes,Drama,Live Action,Contemporary Fiction,,Poland,Polish,"September 06, 2019",,
https://www.the-numbers.com/movie/No-Longer-Human-(Japan)#tab=summary,,122 minutes,Drama,Live Action,Dramatization,,Japan,Japanese,"September 13, 2019",,
https://www.the-numbers.com/movie/Best-of-Enemies-The-(2019)#tab=summary,"PG-13for thematic material, racial epithets, some violence and a suggestive reference.(Rating bulletin 2517 (Cert #51332), 3/7/2018)",133 minutes,Drama,Live Action,Dramatization,"Astute Films,STX Films,Rambler Entertainment,Material Pictures",United States,English,"April 05, 2019","$10,000,000",
https://www.the-numbers.com/movie/Naui-Teukbyeolhan-Hyungje-(S-Korea)(2019)#tab=summary,,114 minutes,Drama,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"May 01, 2019",,
https://www.the-numbers.com/movie/Zeny-v-behu-(CZ)(2019)#tab=summary,,93 minutes,Comedy,Live Action,Contemporary Fiction,,Czech Republic,Czech,"January 25, 2019",,
https://www.the-numbers.com/movie/Sorry-We-Missed-You-(UK)-(2019)#tab=summary,Not Rated,100 minutes,Drama,Live Action,Contemporary Fiction,"Sixteen Films,Why Not Productions,BFI,BBC Films,Les Films du Fleuve,Wild Bunch,France 2 Cinema,Canal Plus,France Television,Le Pacte,Cineart,Cine Plus,VOO ET BETV","France,United Kingdom,Belgium",English,"August 23, 2019",,
https://www.the-numbers.com/movie/Bei-Guang-Zhua-Zou-De-Ren-(China)#tab=summary,,90 minutes,Drama,Live Action,Fantasy,,China,Mandarin,"December 13, 2019",,
https://www.the-numbers.com/movie/Leberkasjunkie-(Germany)#tab=summary,,93 minutes,Comedy,Live Action,,,Germany,German,"August 02, 2019",,
https://www.the-numbers.com/movie/Goldfinch-The-(2019)#tab=summary,"Rfor drug use and language.(Rating bulletin 2553 (Cert #51907), 11/14/2018)",149 minutes,Drama,Live Action,Contemporary Fiction,"Warner Bros.,Color Force,Amazon Studios",United States,English,"September 12, 2019","$40,000,000",
https://www.the-numbers.com/movie/Demon-Slayer-Kimetsu-no-Yaiba-The-Movie-Mugen-Train-(2020-Japan)#tab=summary,"Rfor violence and bloody images.(Rating bulletin 2665 (cert #53039) (Dubbed), 1/27/2021)",117 minutes,Adventure,Digital Animation,Fantasy,,Japan,Japanese,"October 16, 2020","$15,750,000",Demon Slayer: Kimetsu no YaibaDemon Slayer
https://www.the-numbers.com/movie/Eight-Hundred-The-(2020-China)#tab=summary,,147 minutes,Action,Live Action,Dramatization,Huayi Brothers Pictures Ltd,China,Mandarin,"August 21, 2020",,
https://www.the-numbers.com/movie/Bad-Boys-For-Life-(Bad-Boys-3)-(2020)#tab=summary,"Rfor strong bloody violence, language throughout, sexual references and brief drug use.(Rating bulletin 2611 (Cert #50335), 1/8/2020)",124 minutes,Action,Live Action,Contemporary Fiction,"Columbia Pictures,2.0 Entertainment,Overbrook Entertainment,Don Simpson,Jerry Bruckheimer Films",United States,English,"January 15, 2020","$90,000,000",Bad Boys
https://www.the-numbers.com/movie/Tenet-(2020)#tab=summary,"PG-13for intense sequences of violence and action, some suggestive references and brief strong language.(Rating bulletin 2635 (Cert #52735), 6/24/2020)",110 minutes,Action,Live Action,Science Fiction,"Syncopy,Warner Bros.","United States,United Kingdom",English,"August 26, 2020","$205,000,000",
https://www.the-numbers.com/movie/Wo-He-Wo-De-Jia-Xiang-(2020-China)#tab=summary,,153 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"October 01, 2020",,My People
https://www.the-numbers.com/movie/Sonic-The-Hedgehog-(Japan)-(2020)#tab=summary,"PGfor action, some violence, rude humor and brief mild language.(Rating bulletin 2612 (Cert #51917), 1/15/2020)",99 minutes,Adventure,Animation/Live Action,Kids Fiction,"Marza Animation Planet,Original Film,Blur Studio,Hedgehog Films Inc,Sega Sammy Group,Paramount Pictures","Japan,United States,Canada",English,"February 13, 2020","$90,000,000",Sonic The Hedgehog
https://www.the-numbers.com/movie/Dolittle#tab=summary,"PGfor some action, rude humor and brief language.(Rating bulletin 2607 (Cert #52492), 12/4/2019)",103 minutes,Adventure,Animation/Live Action,Kids Fiction,"Team Downey,Universal Pictures,Perfect World Pictures,Roth Kirschenbaum Films",United States,English,"January 08, 2020","$175,000,000",
https://www.the-numbers.com/movie/Legend-of-Deification-(2020-China)#tab=summary,Not Rated,110 minutes,Adventure,Digital Animation,Kids Fiction,,China,Mandarin,"January 24, 2020",,Fengshen Cinematic Universe
https://www.the-numbers.com/movie/Song-Ni-Yi-Duo-Xiao-Hong-Hua-(2020-China)#tab=summary,,122 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"December 31, 2020",,
https://www.the-numbers.com/movie/Croods-A-New-Age-The-(2020)#tab=summary,"PGfor peril, action and rude humor.(Rating bulletin 2646 (Cert #52812), 9/9/2020)",95 minutes,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,Dentsu Inc.",United States,English,"November 25, 2020","$65,000,000",The Croods
https://www.the-numbers.com/movie/Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020)#tab=summary,"Rfor strong violence and language throughout, and some sexual and drug material.(Rating bulletin 2609 (Cert #52510), 12/18/2019)",109 minutes,Action,Live Action,Super Hero,"LuckyChap Entertainment,Kroll and Company Entertainment,Clubhouse Pictures,Warner Bros.,DC Films",United States,English,"February 05, 2020","$82,000,000",DC Extended Universe
https://www.the-numbers.com/movie/Chai-Dan-Zhuan-Jia-Er-(2020-Hong-Kong)#tab=summary,,120 minutes,Action,Live Action,Contemporary Fiction,,"Hong Kong,China","Cantonese,Mandarin","December 20, 2020",,Shock Wave
https://www.the-numbers.com/movie/Wonder-Woman-1984-(2020)#tab=summary,"PG-13for sequences of action and violence.(Rating bulletin 2626 (Cert #52443), 4/22/2020)",151 minutes,Action,Live Action,Super Hero,"Atlas Entertainment,Stone Quarry,Warner Bros.,DC Films",United States,English,"December 16, 2020","$200,000,000",Wonder WomanDC Extended Universe
https://www.the-numbers.com/movie/Jin-gang-chuan-(2020-China)#tab=summary,,122 minutes,Drama,Live Action,Dramatization,,China,Mandarin,"October 23, 2020",,
