link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/I-Fell-in-Love-Like-a-Flower-Bouquet-(2021-Japan)#tab=summary,124 minutes,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"January 29, 2021",,,,
https://www.the-numbers.com/movie/French-Dispatch-The#tab=summary,108 minutes,Comedy,Live Action,Historical Fiction,United States,"English,French","October 21, 2021","Rfor graphic nudity, some sexual references and language.(Rating bulletin 2614 (Cert #52467), 1/29/2020)","Searchlight Pictures,Indian Paintbrush,American Empirical",,
https://www.the-numbers.com/movie/Dont-Breathe-2-(2021)#tab=summary,98 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"August 12, 2021","Rfor strong bloody violence, gruesome images, and language.(Rating bulletin 2681 (cert #53215), 5/19/2021)","Screen Gems,Stage 6 Films","$15,000,000",Don’t Breathe
https://www.the-numbers.com/movie/In-the-Heights-(2021)#tab=summary,120 minutes,Musical,Live Action,Contemporary Fiction,United States,"English,Spanish","June 10, 2021","PG-13for some language and suggestive references.(Rating bulletin 2648 (cert#52857), 9/23/2020)","Likely Story,Scott Sanders","$55,000,000",
https://www.the-numbers.com/movie/Ruroni-Kenshin-Sai-shusho-The-Final-(2021-Japan)#tab=summary,138 minutes,Action,Live Action,Contemporary Fiction,Japan,Japanese,"April 23, 2021",,,,Rurouni Kenshin
https://www.the-numbers.com/movie/Ruroni-Kenshin-Sai-shusho-The-Final-(2021-Japan)#tab=summary,138 minutes,Action,Live Action,Contemporary Fiction,Japan,Japanese,"April 23, 2021",,,,Rurouni Kenshin
https://www.the-numbers.com/movie/Spirit-Untamed-(2021)#tab=summary,87 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"March 07, 2021","PGfor some adventure action.(Rating bulletin 2667 (cert #53087), 2/10/2021)",DreamWorks Animation,"$30,000,000",Spirit: Riding Free
https://www.the-numbers.com/movie/Resident-Evil-Welcome-to-Raccoon-City-(2021)#tab=summary,107 minutes,Horror,Live Action,Science Fiction,United States,English,"November 24, 2021","Rfor strong violence and gore, and language throughout.(Rating bulletin 2697 (cert #53261), 9/8/2021)","Constantin Film,Screen Gems","$25,000,000",Resident Evil
https://www.the-numbers.com/movie/Boku-no-Hero-Academia-World-Heroes-Mission-(2021-Japan)#tab=summary,104 minutes,Adventure,Digital Animation,Super Hero,Japan,Japanese,"August 06, 2021","PG-13for violent material, bloody images and some language.(Rating bulletin 2703 (cert #53396) (Dubbed), 10/20/2021)PG-13for violent material, bloody images and some language.(Rating bulletin 2703 (cert #53397) (Subtitled), 10/20/2021)",,,My Hero Academia
https://www.the-numbers.com/movie/King-Richard-(2020)#tab=summary,138 minutes,Drama,Live Action,Dramatization,United States,English,"November 18, 2021","PG-13some violence, strong language, a sexual reference and brief drug references.(Rating bulletin 2696 (cert #53299), 9/1/2021)","Star Thrower Entertainment,Overbrook Entertainment","$50,000,000",
https://www.the-numbers.com/movie/Spiral-(2021)#tab=summary,93 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"May 12, 2021","Rfor sequences of grisly bloody violence and torture, pervasive language, some sexual references and brief drug use.(Rating bulletin 2618 (Cert #52614), 2/26/2020)","Twisted Pictures,Burg-Knoules,Lionsgate,Serendipity Prods,Dahlstar LLC","$20,000,000",Saw
https://www.the-numbers.com/movie/Xiong-Shi-Shao-Nian-(2021-China)#tab=summary,104 minutes,Comedy,Digital Animation,Contemporary Fiction,China,Mandarin,"December 17, 2021",,,,
https://www.the-numbers.com/movie/Tokyo-Revengers-(2021-Japan)#tab=summary,90 minutes,Drama,Live Action,Science Fiction,Japan,Japanese,"July 09, 2021",,,,
https://www.the-numbers.com/movie/Nomadland#tab=summary,108 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"January 29, 2021","Rfor some full nudity.(Rating bulletin 2636 (Cert #52759), 7/1/2020)","Highwayman Films,Hear/Say Productions,Cor Cordium Productions,Searchlight Pictures","$5,000,000",
https://www.the-numbers.com/movie/Jin-Qian-Di-Guo-Zhui-Hu-Qin-Long-(2021-China)#tab=summary,106 minutes,Action,Live Action,Historical Fiction,China,Mandarin,"April 29, 2021",,,,I Corrupt All Cops
