link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies
https://www.the-numbers.com/movie/Manyeo-2-(2022-South-Korea)#tab=summary,137 minutes,The Witch,Horror,Live Action,Contemporary Fiction,Republic of Korea,Korean,"June 15, 2022",,,
https://www.the-numbers.com/movie/Father-Stu-(2022)#tab=summary,124 minutes,,Drama,Live Action,Dramatization,United States,English,"April 13, 2022","$4,000,000","Rfor language throughout.(Rating bulletin 2720 (cert #53571), 2/23/2022)PG-13for language, an accident scene, sexual references, some violence and smoking.(Rating bulletin 2756 (cert #54109) (Edited Version), 11/2/2022)","Columbia Pictures,CJ Entertainment"
https://www.the-numbers.com/movie/Fall-(2022)#tab=summary,107 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"August 11, 2022",,"PG-13for bloody images, intense peril, and strong language.(Rating bulletin 2737 (cert #53860), 6/22/2022)",Tea Shop Productions
https://www.the-numbers.com/movie/Devotion-(2022)#tab=summary,138 minutes,,Action,Live Action,Dramatization,United States,English,"November 23, 2022","$90,000,000","PG-13for strong language, some war action/violence, and smoking.(Rating bulletin 2720 (cert #53572), 2/23/2022)","Black Label Media,Stage 6 Films,STX Films"
https://www.the-numbers.com/movie/Three-Thousand-Years-of-Longing-(2022)#tab=summary,108 minutes,,Drama,Live Action,Fantasy,"United States,Australia",English,"August 24, 2022","$60,000,000","Rfor some sexual content, graphic nudity and brief violence.(Rating bulletin 2728 (cert #53741), 4/20/2022)","Metro-Goldwyn-Mayer Pictures,FilmNation Entertainment,Elevate Production Finance,Sunac,Kennedy Miller Mitchell Productions"
https://www.the-numbers.com/movie/Bergen-(2022-Turkey)#tab=summary,145 minutes,,Drama,Live Action,Dramatization,Turkey,Turkish,"March 04, 2022",,,
https://www.the-numbers.com/movie/See-How-They-Run-(2022)#tab=summary,98 minutes,,Comedy,Live Action,Historical Fiction,United States,English,"September 07, 2022",,"PG-13for some violence/bloody images and a sexual reference.(Rating bulletin 2726 (cert #53669), 4/6/2022)","Searchlight Pictures,DJ Films"
https://www.the-numbers.com/movie/Ju-sheng-huai-nan-(2022-China)#tab=summary,,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"June 02, 2022",,,
https://www.the-numbers.com/movie/Decision-to-Leave-(2022-South-Korea)#tab=summary,,,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"June 29, 2022",,Not Rated,
https://www.the-numbers.com/movie/Fragments-of-the-Last-Will-(2022-Japan)#tab=summary,134 minutes,,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"December 09, 2022",,,
https://www.the-numbers.com/movie/355-The-(2021)#tab=summary,124 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"January 06, 2022","$75,000,000","PG-13for sequences of strong violence, brief strong language, and suggestive material.(Rating bulletin 2651 (cert #52888), 10/14/2020)","Freckle Films,Genre Films,FilmNation Entertainment,Universal Pictures,Simon Kinberg"
https://www.the-numbers.com/movie/One-Week-Friends-(2022-China)#tab=summary,,,,,,,,"June 18, 2022",,,
https://www.the-numbers.com/movie/Yin-ru-chenyan-(2022-China)#tab=summary,134 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"July 06, 2022",,,
https://www.the-numbers.com/movie/bisangseongeon-(2020-South-Korea)#tab=summary,138 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 03, 2022",,,
https://www.the-numbers.com/movie/padre-no-hay-mas-que-uno-3-(2022-Spain)#tab=summary,99 minutes,,Comedy,Live Action,Contemporary Fiction,Spain,Spanish,"July 15, 2022",,,
https://www.the-numbers.com/movie/Hao-Xiang-Qu-Ni-De-Shi-Jie-Ai-Ni-(2022-China)#tab=summary,90 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"February 14, 2022",,,
https://www.the-numbers.com/movie/Blacklight-(2022)#tab=summary,108 minutes,,Action,Live Action,Contemporary Fiction,United States,English,"February 10, 2022","$29,000,000","PG-13for strong violence, action and language.(Rating bulletin 2709 (cert #53520), 12/1/2021)","Briarcliff Entertainment,The Solution Entertainment Group,Sina Studios,Zero Gravity Management,Footloose Productions,Fourstar Films,Elevate Production Finance"
https://www.the-numbers.com/movie/Terrifier-2-(2022)#tab=summary,138 minutes,Terrifier,Horror,Live Action,Contemporary Fiction,United States,English,"October 06, 2022","$250,000",,
https://www.the-numbers.com/movie/Operation-Mincemeat-(2022)#tab=summary,128 minutes,,Drama,Live Action,Dramatization,United States,English,"April 15, 2022","$6,300,000",,"See-Saw Films,Cohen Media Group"
https://www.the-numbers.com/movie/Gang-Tie-Yi-Zhi-(2022-China)#tab=summary,105 minutes,,Drama,Live Action,Dramatization,China,Mandarin,"September 23, 2022",,,
https://www.the-numbers.com/movie/Amazing-Maurice-The-(2022-United-Kingdom)#tab=summary,90 minutes,,Adventure,Digital Animation,Kids Fiction,"United Kingdom,Germany",English,"December 15, 2022",,"PGfor action/peril and some rude material.(Rating bulletin 2750 (Cert #54051), 9/21/2022)",
https://www.the-numbers.com/movie/Table-for-Six-(2022-Hong-Kong)#tab=summary,116 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,Hong Kong,Cantonese,"September 03, 2022",,,
https://www.the-numbers.com/movie/Bones-and-All-(2022)#tab=summary,130 minutes,,Thriller/Suspense,Live Action,Historical Fiction,"United States,Italy",English,"November 17, 2022",,"Rfor strong, bloody and disturbing violent content, language throughout, some sexual content and brief graphic nudity.(Rating bulletin 2736 (cert #53846), 6/15/2022)","Frenesy Film,Per Capita,The Apartment,3 Marys Entertainment S.R.I.,Memo Films,Metro-Goldwyn-Mayer Pictures,Tenderstories,Elafilm,Wise Pictures,Excelsa,Serfis,Piace,A Cor Cordium"
https://www.the-numbers.com/movie/Ladybug-and-Cat-Noir-The-Movie-(2022)#tab=summary,105 minutes,,Action,Digital Animation,Super Hero,"United States,Japan,France","English,French,Chinese","August 03, 2022",,"PGfor action, some thematic elements and brief smoking.(Rating bulletin 2784 (cert #54378), 5/24/2023)",
https://www.the-numbers.com/movie/X-(2022-Horror)#tab=summary,105 minutes,X (Mia Goth),Horror,Live Action,Historical Fiction,United States,English,"March 17, 2022","$1,000,000","Rfor strong bloody violence and gore, strong sexual content, graphic nudity, drug use, and language.(Rating bulletin 2712 (cert #53557), 12/22/2021)","A24,Bron Creative"
