link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Lose-to-Win-(2023-China)#tab=summary,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"September 28, 2023",,,,,
https://www.the-numbers.com/movie/Invisible-Guest-The-(2023-China)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,China,Mandarin,"December 08, 2023",106 minutes,,,,
https://www.the-numbers.com/movie/American-Fiction-(2023)#tab=summary,Comedy,Live Action,Contemporary Fiction,United States,English,"December 15, 2023",117 minutes,"$10,000,000","Rfor language throughout, some drug use, sexual references and brief violence.(Rating bulletin 2794 (cert #54452), 8/2/2023)","Orion Pictures,T-Street,MRC,3 Arts Entertainment,Almost Infinite",
https://www.the-numbers.com/movie/Vyzov-(2023-Russia)#tab=summary,Drama,Live Action,Contemporary Fiction,Russian Federation,Russian,"April 20, 2023",,,,,
https://www.the-numbers.com/movie/All-of-Us-Strangers-(2023-United-Kingdom)#tab=summary,Drama,Live Action,Contemporary Fiction,"United States,United Kingdom",English,"December 22, 2023",105 minutes,,"Rfor sexual content, language and some drug use.(Rating bulletin 2798 (cert #54553), 8/30/2023)","Searchlight Pictures,Film 4,TSG Entertainment,Blueprint Pictures",
https://www.the-numbers.com/movie/Animal-(2023-India)#tab=summary,Action,Live Action,Contemporary Fiction,India,"Hindi,Telugu","December 01, 2023",182 minutes,,,,
https://www.the-numbers.com/movie/Are-You-There-God-Its-Me-Margaret#tab=summary,Comedy,Live Action,Historical Fiction,United States,English,"April 28, 2023",105 minutes,"$30,000,000","PG-13for thematic material involving sexual education and some suggestive material.(Rating bulletin 2777 (cert #53511), 4/5/2023)","Gracie Films,Lionsgate",
https://www.the-numbers.com/movie/Radical-(2023-Mexico)#tab=summary,Drama,Live Action,Dramatization,Mexico,Spanish,"July 19, 2023",125 minutes,,"PG-13for some strong violent content, thematic material and strong language.(Rating bulletin 2802 (cert #54660), 9/27/2023)",Pantelion Films,
https://www.the-numbers.com/movie/Saltburn-(2023)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,"United States,United Kingdom",English,"November 16, 2023",127 minutes,,"Rfor strong sexual content, graphic nudity, language throughout, some disturbing violent content, and drug use.(Rating bulletin 2801 (cert #54396), 9/20/2023)","LuckyChap Entertainment,MRC,Amazon Studios,Metro-Goldwyn-Mayer Pictures",
https://www.the-numbers.com/movie/Nosso-Lar#tab=summary,Drama,Live Action,Fantasy,Brazil,Portuguese,"September 28, 2023",,,,,
