link,Production Budget,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Franchise
https://www.the-numbers.com/movie/My-Life-in-Ruins#tab=summary,"$17,000,000",PG-13for sexual content,95 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"Fox Searchlight Pictures,26 Films,Kanzaman Prods",United States,English,"June 05, 2009",
https://www.the-numbers.com/movie/Nanjing-Nanjing#tab=summary,"$12,000,000","RFor wartime violence and atrocities including sexual assault, and for some sexuality and brief nudity",135 minutes,Drama,Live Action,Dramatization,,China,"Mandarin,Japanese,English,German","May 11, 2011",
https://www.the-numbers.com/movie/McDull-Kung-Fu-Kindergarten-(China)#tab=summary,,,81 minutes,Adventure,Digital Animation,Kids Fiction,,"Hong Kong,Japan","Mandarin,Cantonese","July 24, 2009",
https://www.the-numbers.com/movie/Tooth-Fairy#tab=summary,"$48,000,000","PGFor mild language, some rude humor and sports action",101 minutes,Adventure,Live Action,Fantasy,"20th Century Fox,Walden Media,Mayhem Pictures,Blumhouse",United States,English,"January 22, 2010",
https://www.the-numbers.com/movie/Last-Exorcism-The#tab=summary,"$1,800,000","PG-13For disturbing violent content and terror, some sexual references and thematic material.(Rating bulletin 2126, 6/22/2010)",100 minutes,Horror,Live Action,Contemporary Fiction,"Strike Entertainment,StudioCanal",United States,"English,English","August 27, 2010",The Last Exorcism
https://www.the-numbers.com/movie/Crazies-The-(2010)#tab=summary,"$19,000,000",Rfor bloody violence and language,101 minutes,Horror,Live Action,Contemporary Fiction,Participant Media,United States,English,"February 26, 2010",
https://www.the-numbers.com/movie/Scott-Pilgrim-vs-The-World#tab=summary,"$85,000,000","PG-13for stylized violence, sexual content, language and drug references(Rating bulletin 2117, 4/21/2010)",112 minutes,Comedy,Live Action,Contemporary Fiction,"Big Talk Pictures,Universal Pictures,Marc Platt Productions,Closed on Mondays,Dentsu Inc.","United States,United Kingdom,Canada,Japan",English,"August 12, 2010",
https://www.the-numbers.com/movie/Made-in-Dagenham#tab=summary,"$8,000,000","Rfor language and brief sexuality.(Rating bulletin 2136, 9/1/2010)",113 minutes,Drama,Live Action,Dramatization,"Lipsync Productions,BMS Finance,UKFC,Audley Films,BBC Films,Number 9 Films",United Kingdom,English,"November 19, 2010",
https://www.the-numbers.com/movie/Scream-4#tab=summary,"$40,000,000","Rfor strong bloody violence, language and some teen drinking.(Rating bulletin 2161, 3/2/2011)",110 minutes,Horror,Live Action,Contemporary Fiction,"Corvus Corax Productions,Dimension Films,Outerbanks Entertainment",United States,English,"April 15, 2011",Scream
https://www.the-numbers.com/movie/Darkest-Hour-The#tab=summary,"$34,800,000","PG-13for sci-fi action violence and some language.(Rating bulletin 2169, 4/27/2011)",89 minutes,Action,Live Action,Science Fiction,"Regency Enterprises,Summit Entertainment,New Regency,Bazelevs Company,Jacobson Company","United States,Russian Federation","English,Russian","December 25, 2011",
https://www.the-numbers.com/movie/piel-que-habito-La#tab=summary,"$11,000,000","Rfor disturbing violent content including sexual assault, strong sexuality, graphic nudity, drug use and language.(Rating bulletin 2183, 8/3/2011)",117 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,El Deseo,Spain,Spanish,"October 14, 2011",
