link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,MPAA Rating,Production/Financing Companies,Franchise,Production Budget
https://www.the-numbers.com/movie/Hitman-2-(2025-South-Korea)#tab=summary,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"January 22, 2025",,,,,
https://www.the-numbers.com/movie/Boss-(2025-South-Korea)#tab=summary,Comedy,Live Action,Contemporary Fiction,Republic of Korea,Korean,"October 03, 2025",,,,,
https://www.the-numbers.com/movie/Gorynych-(2025-Russia)#tab=summary,Comedy,,Fantasy,Russian Federation,Russian,"October 23, 2025",,,,,
https://www.the-numbers.com/movie/Doraemon-Nobitas-Art-World-Tales-(2025-Japan)#tab=summary,,Digital Animation,,Japan,Japanese,"March 07, 2025",104 minutes,,,,
https://www.the-numbers.com/movie/Match-The-(2025-South-Korea)#tab=summary,Drama,Live Action,Dramatization,Republic of Korea,Korean,"March 26, 2025",114 minutes,,,,
https://www.the-numbers.com/movie/Kraken-(2025-Russia)#tab=summary,Adventure,Live Action,Science Fiction,Russian Federation,Russian,"April 17, 2025",,,,,
https://www.the-numbers.com/movie/Alisa-v-Strane-Chudes-(2025-Russia)#tab=summary,Adventure,Live Action,Fantasy,Russian Federation,Russian,"October 23, 2025",,,,,
https://www.the-numbers.com/movie/Becoming-Led-Zeppelin-(2025)#tab=summary,Documentary,Live Action,Factual,"United Kingdom,United States",English,"February 06, 2025",121 minutes,"PG-13for some drug references and smoking.(Rating bulletin 2847 (cert #55121), 8/14/2024)","Sony Pictures Classics,Paradise Pictures,Big Beach",,
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-2-(2025)#tab=summary,Drama,Live Action,Dramatization,,,"April 04, 2025",,Not Rated,,The Chosen,
https://www.the-numbers.com/movie/Penguin-Lessons-The-(2025)#tab=summary,Drama,Live Action,Dramatization,"United States,Spain","English,Spanish","March 28, 2025",110 minutes,"PG-13for strong language, some sexual references and thematic elements.(Rating bulletin 2871 (cert #55374), 2/5/2025)","42,Rocket Science,Rolling Dice,Intake Films,Nostromo Pictures,Aperture Entertainment",,
https://www.the-numbers.com/movie/Fox-Hunt-(2025-China)#tab=summary,Action,Live Action,Contemporary Fiction,China,Mandarin,"April 04, 2025",105 minutes,,,,
https://www.the-numbers.com/movie/Noise-(2025-South-Korea)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,"June 25, 2025",93 minutes,,,,
https://www.the-numbers.com/movie/Sons-of-the-Neon-Night-(2025-Hong-Kong)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,Hong Kong,,"October 01, 2025",132 minutes,,,,
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-3-(2025)#tab=summary,Drama,Live Action,Dramatization,"United States,Canada",English,"April 11, 2025",,Not Rated,,The Chosen,
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-3-(2025)#tab=summary,Drama,Live Action,Dramatization,"United States,Canada",English,"April 11, 2025",,Not Rated,,The Chosen,
https://www.the-numbers.com/movie/Life-of-Chuck-The-(2025)#tab=summary,Drama,Live Action,Science Fiction,United States,English,"June 05, 2025",110 minutes,"Rfor language.(Rating bulletin 2877 (cert #55248), 3/19/2025)","Neon Films,Intrepid Pictures,Red Room Pictures",,
https://www.the-numbers.com/movie/Dark-Nuns-(2025-South-Korea)#tab=summary,Horror,Live Action,Contemporary Fiction,Republic of Korea,"Korean,English","January 24, 2025",114 minutes,Not Rated,,,
https://www.the-numbers.com/movie/Sketch-(2025)#tab=summary,Comedy,Live Action,Contemporary Fiction,United States,English,"August 06, 2025",92 minutes,"PGfor scary action, some violence, thematic elements, language and rude humor.(Rating bulletin 2884 (cert #55496), 5/7/2025)","Morphan Time,Angel Studios",,"$3,000,000"
https://www.the-numbers.com/movie/Return-of-the-Lame-Hero-The-(2025-China)#tab=summary,Drama,Live Action,Contemporary Fiction,China,Mandarin,"October 01, 2025",124 minutes,,,,
https://www.the-numbers.com/movie/Alto-Knights-The-(2025)#tab=summary,Drama,Live Action,Dramatization,United States,English,"March 19, 2025",123 minutes,"Rfor violence and pervasive language.(Rating bulletin 2828 (cert #54916), 4/3/2024)","Warner Bros.,Domain Entertainment",,"$45,000,000"
