Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642",38.83%,Toy Story 3,https://www.the-numbers.com/movie/Toy-Story-3#tab=summary
2,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000",32.59%,Alice in Wonderland,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary
3,Harry Potter and the Deathly Hallows: Part I,"$943,476,160","$297,414,693","$646,061,467",31.52%,Harry Potter and the,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary
4,Inception,"$826,873,382","$293,662,683","$533,210,699",35.51%,Inception,https://www.the-numbers.com/movie/Inception#tab=summary
5,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886",31.57%,Shrek Forever After,https://www.the-numbers.com/movie/Shrek-Forever-After-(2010)#tab=summary
6,The Twilight Saga: Eclipse,"$705,134,076","$300,834,957","$404,299,119",42.66%,The Twilight Saga: E,https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary
7,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058",50.30%,Iron Man 2,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
8,Tangled,"$581,940,081","$200,821,936","$381,118,145",34.51%,Tangled,https://www.the-numbers.com/movie/Tangled#tab=summary
9,Despicable Me,"$544,707,293","$252,756,705","$291,950,588",46.40%,Despicable Me,https://www.the-numbers.com/movie/Despicable-Me#tab=summary
10,How to Train Your Dragon,"$494,451,690","$217,851,976","$276,599,714",44.06%,How to Train Your Dr,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary
11,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000",33.09%,Clash of the Titans,https://www.the-numbers.com/movie/Clash-of-the-Titans-(2010)#tab=summary
12,The King’s Speech,"$430,061,213","$138,797,449","$291,263,764",32.27%,The King’s Speech,https://www.the-numbers.com/movie/Kings-Speech-The#tab=summary
13,The Chronicles of Narnia: The Voyage of the Daw…,"$418,186,950","$104,386,950","$313,800,000",24.96%,The Chronicles of Na,https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary
14,Tron: Legacy,"$399,866,199","$172,062,763","$227,803,436",43.03%,Tron: Legacy,https://www.the-numbers.com/movie/Tron-Legacy-(2010)#tab=summary
15,The Karate Kid,"$351,774,938","$176,591,618","$175,183,320",50.20%,The Karate Kid,https://www.the-numbers.com/movie/Karate-Kid-The-(2010)#tab=summary
16,Prince of Persia: Sands of Time,"$336,359,676","$90,759,676","$245,600,000",26.98%,Prince of Persia: Sa,https://www.the-numbers.com/movie/Prince-of-Persia-Sands-of-Time#tab=summary
17,Black Swan,"$332,082,290","$107,770,258","$224,312,032",32.45%,Black Swan,https://www.the-numbers.com/movie/Black-Swan#tab=summary
18,Robin Hood,"$322,459,006","$105,487,148","$216,971,858",32.71%,Robin Hood,https://www.the-numbers.com/movie/Robin-Hood-(2010)#tab=summary
19,Megamind,"$321,887,208","$148,415,853","$173,471,355",46.11%,Megamind,https://www.the-numbers.com/movie/Megamind#tab=summary
20,The Last Airbender,"$319,713,881","$131,772,187","$187,941,694",41.22%,The Last Airbender,https://www.the-numbers.com/movie/Last-Airbender-The#tab=summary
21,Little Fockers,"$310,650,574","$148,438,600","$162,211,974",47.78%,Little Fockers,https://www.the-numbers.com/movie/Little-Fockers#tab=summary
22,Shutter Island,"$299,461,782","$128,012,934","$171,448,848",42.75%,Shutter Island,https://www.the-numbers.com/movie/Shutter-Island-(2010)#tab=summary
23,Resident Evil: Afterlife,"$295,874,190","$60,128,566","$235,745,624",20.32%,Resident Evil: After,https://www.the-numbers.com/movie/Resident-Evil-Afterlife#tab=summary
24,Sex and the City 2,"$294,680,778","$95,347,692","$199,333,086",32.36%,Sex and the City 2,https://www.the-numbers.com/movie/Sex-and-the-City-2#tab=summary
25,Salt,"$290,650,494","$118,311,368","$172,339,126",40.71%,Salt,https://www.the-numbers.com/movie/Salt#tab=summary
26,The Tourist,"$278,731,369","$67,631,157","$211,100,212",24.26%,The Tourist,https://www.the-numbers.com/movie/Tourist-The#tab=summary
27,Grown Ups,"$272,222,420","$162,001,186","$110,221,234",59.51%,Grown Ups,https://www.the-numbers.com/movie/Grown-Ups#tab=summary
28,The Expendables,"$268,268,174","$103,068,524","$165,199,650",38.42%,The Expendables,https://www.the-numbers.com/movie/Expendables-The#tab=summary
29,Knight and Day,"$258,751,370","$76,423,035","$182,328,335",29.54%,Knight and Day,https://www.the-numbers.com/movie/Knight-and-Day#tab=summary
30,True Grit,"$252,276,928","$171,243,005","$81,033,923",67.88%,True Grit,https://www.the-numbers.com/movie/True-Grit-(2010)#tab=summary
31,Gulliver’s Travels,"$232,017,848","$42,779,261","$189,238,587",18.44%,Gulliver’s Travels,https://www.the-numbers.com/movie/Gullivers-Travels-(2010)#tab=summary
